"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","Australia","","Flow Type(s):","Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Recipient(s)",
"All Recipients","","..","..","..","..","..","109.25","114.79","142.82","159.82","187.6","211.73","215.78","279.33","310.63","441.75","559.02","386.37","404.7","593.88","633.12","669.06","645.08","889.72","749.93","779.16","757.35","754.87","627.97","1108.48","1018.71","946.91","1051.5","1019.68","957.69","1095.89","1198.09","1076.44","1069.63","956.67","986.79","987.75","874.82","994.5","1222.41","1463.64","1682.4","2122.32","2664.95","2955.92","2767.63","3826.08","4983.41","5402.72","4845.5"
"All Developing Countries","","..","..","..","..","..","109.25","114.79","142.82","147.07","158.15","190.04","190.93","253.5","271.86","398.98","443.54","326.87","357.75","425.81","472.94","490.91","545.34","572.13","530.55","610.37","543.54","515.4","535.55","629.87","705.15","744.75","725.97","744.11","718.79","828.79","930.73","853.96","784.55","747.87","734.7","758.63","662.36","779.43","978.34","1194.11","1451.27","1795.16","2264.48","2654.81","2317.81","3287.08","4309.27","4540.08","4149.24"
"All Multilateral Recipients","","..","..","..","..","..","..","..","..","12.75","29.45","21.69","24.85","25.83","38.77","42.77","115.48","59.5","46.95","168.07","160.18","178.15","99.74","317.59","219.38","168.79","213.81","239.47","92.42","478.61","313.56","202.16","325.53","275.57","238.9","267.1","267.36","222.48","285.08","208.8","252.09","229.12","212.46","215.07","244.07","269.53","231.13","327.16","400.47","301.11","449.82","539","674.14","862.64","696.26"
"Afghanistan","","..","..","..","..","..","0.03","0.04","0.04","0.06","0.74","0.1","0.12","0.15","0.58","0.15","0.25","0.26","0.65","1.03","0.2","0.05","0.01","..","..","..","0.02","..","0.02","0.03","0.43","1.23","4.75","0.44","0.76","2.9","2.9","2.03","4.08","3.08","0.08","2.15","6.18","12.77","8.31","21.09","15.85","21.15","50.25","138.44","96.74","99.18","159.39","226.68","104.44"
"Albania","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","0.01","..","0","..","..","..","..","0.01","..","..","..","..","..","..","0.01","0.01","0.01","0.01","0.02","0.01"
"Algeria","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.02","0.02","0.12","0.01","0.04","0.03","..","0.05","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.07","0.06","0.07"
"Angola","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.2","..","0.01","..","..","..","0.01","0.01","..","1.34","0.26","0.3","0.21","1.93","1.99","1.05","1.49","1.29","0.8","0.9","..","..","..","..","..","0.05","0.89","..","..","..","0.22","0.19","0.23"
"Anguilla","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.02","..","..","..","..","..","..",".."
"Antigua & Barbuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.04","0.01","..","0.01","..","..","0.02","..","..","..","..","..","..","..","..","..","..","0.01","..","..","..","..","0.01","0.05","..","..","..","..","0.93","0.14","0.05"
"Argentina","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","..","..","..","0.01","0.03","..","..","..","..","..","..","..","..","0.01","0.02","0.01","0.02","..","..","..","..","..","0.02","0.03","0.03","..","0.03","..","..","..","0.03","0.07","0.18","0.37","1.38","0.82"
"Armenia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","0.02","0.03","..","..","0","..","..","..","..","..","..","0.02","..","..","..","..","..","..","..","..","..",".."
"Aruba","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Azerbaijan","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.06","0.61","0.01"
"Bahamas","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","0.01","..","..","..","..","0.06","0.06","0.05","0.02","0.02","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Bahrain","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.03","..","..","..","..","0.02","..","0.02","0.01","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
