"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","Austria","","Flow Type(s):","Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Recipient(s)",
"All Recipients","","0","0.45","5.37","0.45","9.9","31.61","30.35","31.47","16.33","14.33","10.56","12.18","17.78","40.22","59.97","79.19","49.81","103.21","153.12","129.44","175.4","217.72","234.03","157.61","181.1","248.44","197.73","201.09","301.4","282.45","168.05","294.19","204.22","206.11","323.44","619.99","526.78","494.85","459.05","492.32","439.66","633.05","520.13","504.71","677.59","1573.33","1498.45","1808.53","1713.47","1141.75","1208.4","1111.35","1105.8","1171.49"
"All Developing Countries","","0","0.45","5.37","0.45","9.9","31.61","30.35","31.47","7.81","5.69","4.1","6.5","4.29","7.74","20.08","49.85","29.64","86.52","112.77","62.17","150.68","161","164.99","126.49","136.95","174.32","141.54","156.9","162.36","200.92","73.67","180.53","68.19","72.82","203.88","412.92","381.87","273.88","294.84","309.51","273.18","441.74","364.24","228.43","352.49","1231.98","1091.65","1324.27","1233.59","507.09","612.43","490.08","535.65","543.28"
"All Multilateral Recipients","","..","..","..","..","..","..","..","..","8.52","8.64","6.46","5.68","13.49","32.48","39.89","29.34","20.17","16.69","40.35","67.27","24.72","56.72","69.04","31.12","44.15","74.12","56.19","44.19","139.04","81.53","94.38","113.66","136.03","133.29","119.56","207.07","144.91","220.97","164.21","182.81","166.48","191.31","155.89","276.28","325.1","341.35","406.8","484.26","479.88","634.66","595.97","621.27","570.15","628.21"
"Afghanistan","","..","..","..","..","0.02","0.02","0.03","0.05","0.02","0.01","..","0.05","..","..","..","..","0.03","0.09","0.08","0.13","0.29","0.2","1.02","0.72","0.11","0.17","0.09","0.11","0.14","1.35","1.49","0.62","1.49","0.65","0.64","0.82","2.85","1.8","0.57","2.37","5.85","9.74","13.4","6.9","8.65","7.68","1.24","0.66","0.84","0.82","2.41","1.03","1.29","1.59"
"Albania","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.07","0.09","1.41","4.2","7.01","2.54","1.7","3.39","3.19","4.35","4.58","18.88","4.8","2.3","1.71","3.67","5.01","4.18","6.99","7.39","7.74","8.19","8","8.09","8.9","10.11"
"Algeria","","..","..","..","..","..","..","-0.68","1.35","..","..","0.01","3.03","..","..","0.02","-0.35","0.7","0.09","0.18","0.17","0.5","63.73","68.26","20.98","63.02","96.51","63.36","61.61","36.67","20.75","-106.82","-90.18","-108.7","-129.7","-54.96","2.87","1","0.37","0.88","0.97","0.2","0.19","0.42","0.75","0.54","0.88","0.15","0.17","0.17","0.14","0.12","0.15","0.25","0.2"
"Angola","","..","..","..","..","..","1.09","..","-0.3","..","-0.14","-0.14","-0.08","..","..","..","..","..","..","..","0.2","0.21","0.06","0.06","0.13","0.82","1.37","1.2","1.41","0.65","0.68","-0.59","-0.57","-0.6","-0.6","-0.86","2.16","3.08","1.92","1.01","1","0.36","0.04","0.23","0.24","0.15","1.74","0.03","0.03","0.05","0.06","0.02","0.02","0.04","0.02"
"Anguilla","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Antigua & Barbuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","..","..","..","..","0.01","..","0.01","..","0.21","..","0.02","..","..","..",".."
"Argentina","","0.4","..","..","-0.54","-0.54","2.42","2.56","-0.39","..","-0.08","-0.15","-0.17","..","..","..","-0.27","-0.03","0.05","0.1","0.14","0.53","0.14","0.2","0.1","0.08","0.04","0.15","0.14","0.13","0.15","0.2","0.31","0.35","0.36","0.33","0.3","0.35","0.24","0.33","0.17","0.13","0.11","0.13","0.13","0.14","0.12","0.1","0.14","0.27","0.3","0.35","0.34","0.24","0.25"
