"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","Belgium","","Flow Type(s):","Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Recipient(s)",
"All Recipients","","82","70.5","64.61","75.16","81.52","106.46","67.25","74.39","88.04","116.04","119.71","146.27","193.34","234.85","271.45","377.64","340.09","370.97","536.09","641.28","593.75","573.62","498.59","479.23","446.26","440.52","546.53","687.15","600.74","703.35","889.36","831.02","869.97","810.24","727.48","1034","913.25","763.75","882.63","759.75","819.69","867.33","1071.51","1853.14","1463.34","1963.35","1976.92","1950.72","2385.64","2609.6","3003.9","2807.4","2314.93","2299.58"
"All Developing Countries","","82","70.5","64.61","75.16","81.52","106.46","67.25","74.39","73.82","84.79","92.21","110.28","130.21","178.82","207.71","251.84","229.05","261.9","310.36","444.74","455.48","368.92","292.73","298.47","263.01","275.19","359.15","427.7","415.28","356.17","547.67","494.99","548.66","468.09","436.06","513.73","529.76","437.93","536.65","436.69","476.85","502.47","711.49","1467.91","902.46","1308.21","1356.46","1237.57","1376.05","1585.06","2024.91","1739.19","1432.72","1307.27"
"All Multilateral Recipients","","..","..","..","..","..","..","..","..","14.22","31.25","27.5","35.99","63.13","56.03","63.74","125.8","111.04","109.07","225.73","196.54","138.27","204.7","205.86","180.76","183.25","165.33","187.38","259.45","185.46","347.18","341.69","336.03","321.31","342.15","291.42","520.27","383.49","325.82","345.98","323.06","342.84","364.86","360.02","385.23","560.88","655.14","620.46","713.15","1009.59","1024.54","978.99","1068.21","882.21","992.31"
"Afghanistan","","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","0.01","0.01","0.04","0.03","0.06","0.04","..","..","..","..","0.03","0.03","..","..","..","0.01","0.01","..","0.08","0.1","0.22","0.2","0.01","0.89","0.01","..","..","3.69","7","3.09","6.96","5.08","7.63","10.64","10.15","18.69","15.18","16.86","11.79","5.75"
"Albania","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.14","..","0.25","0.62","0.08","0.16","..","3.03","0.89","..","..","0.01","0.37","0.51","0.05","..","0.82","0.01","0.05","0.02","0.01",".."
"Algeria","","..","..","..","..","..","..","..","0.12","0.14","0.13","0.17","0.33","0.41","0.9","1.04","1.54","1.95","2.07","2.23","3.41","4.12","5.13","2.89","2.3","1.86","1.43","1.52","1.95","1.95","1.11","2.27","30.43","14.04","4.55","1.41","6.59","11.69","4.45","3.9","5.49","1.1","5.71","1.31","4.16","11.32","14.51","13.18","12.96","10.32","11.06","10.28","6.97","6.56","7.62"
"Angola","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.07","0.17","0.42","0.5","3.99","0.47","0.29","2.74","0.09","1.85","0.13","0.17","0.13","0.37","0.86","4.06","0.77","2.49","2.59","3.33","0.64","11.51","5.78","3.83","1.99","1.34","1.66","1.34","2.76","2.45","2.51","0.36","-6.24","0.9","-0.55","0.38","1.12","0.14","0.17"
"Anguilla","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Antigua & Barbuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.03","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Argentina","","..","..","..","..","..","..","0.16","0.19","0.22","0.39","0.42","0.39","0.33","0.35","0.32","0.39","0.41","0.37","0.38","0.24","0.41","0.15","0.27","0.38","0.2","0.25","0.52","0.59","0.49","0.2","0.75","1.41","1.88","1.38","0.78","0.84","0.87","1.14","0.88","0.78","0.54","0.48","0.32","0.39","0.49","0.4","0.28","0.24","0.32","0.02","0.01","0.03","0.13","0.04"
"Armenia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0","..","..","..","..","..","..","..","0.13","0.29","0.95","0.37","0.65","0.1","0.03","0.37","0.2","0.21"
"Aruba","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","..","0.01","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Azerbaijan","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","..","..","..","..","..","..","..","..","0.07","1.07","0.02","1.71","..","0.01","..","..",".."
"Bahamas","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.04","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Bahrain","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.02","..","..","..","..","..","..","..","..","..",".."
"Bangladesh","","..","..","..","..","..","..","..","..","..","..","..","..","..","1.04","4.16","3.81","3.95","4.85","0.22","14.7","8.84","1.61","5.39","0.7","0.38","9.98","0.88","5.23","3.54","0.12","9.88","4.01","5.6","3.06","6.41","2.45","1.87","-1.9","0.03","-0.91","-0.91","1.7","-2.07","1.26","-0.1","-0.32","-0.64","-0.43","3.61","-2.65","-0.01","0.49","0.82","1"
"Barbados","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.04","..","..","..","..","..","..","..","0.09","0.1","..","..","0.09","0.09","0.03","..","0.01","0.02","0.02","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Belarus","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","0.01","0.15","0.09","0.03","0.12","0.05","0.06","0.01"
"Belize","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","..","..","..","..","..","..","0.06","..","..","..","..","..","0.02","0.01","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Benin","","..","..","..","..","..","..","0.06","0.11","0.08","0.09","0.12","0.14","0.18","0.41","0.49","0.61","0.59","0.82","0.52","0.52","0.52","0.46","0.58","2.25","0.52","0.7","1.17","2.05","0.99","1.79","1.33","1.62","1.16","1.17","4.05","2.85","1.59","17.78","3.71","4.05","4.63","4.38","9.8","10.56","13.41","13.12","14.23","14.89","21.92","25.58","28.97","28.39","25.59","24.15"
"Bermuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Bhutan","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.05","0.08","0.09","0.01","0.01","0.05","..","..","..","0.01","..","..","..","..","..","..","..","..","..","..","0.01","..","..","..","..","..","..",".."
"Bolivia","","..","..","..","..","..","..","0.1","0.13","0.15","0.2","0.19","0.19","0.16","0.33","0.68","0.55","0.77","2.58","3.83","4.87","1.53","3.58","2.95","2.77","1.63","1.55","2.37","2.04","2.84","4.51","6.24","4.38","19.49","9.45","7","46.52","59.91","6.2","24.33","12.57","9.31","9.5","19.12","14.24","17.31","10.33","10.48","14.89","17.81","24.8","20.87","23.62","16.94","13.23"
"Bosnia-Herzegovina","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.88","2.6","4.32","3.99","5.73","1.28","6.04","1.88","0.66","0.54","1.54","0.28","0.3","-3.14","-0.06","-0.19","-0.14","-0.25","-0.24"
"Botswana","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.03","0.02","0.03","..","..","..","..","..","..","0.1","0.04","0.16","1.5","0.09","0.01","0.12","0.18","0.92","0.27","0.39","0.75","0.42","0.4","0.28","0.23","0.2","0.42","0.28","0.25","0.06","..","-0.14","0.17","0.2","0.18","0.2","0.03","-0.08","-0.09"
"Brazil","","..","..","2","..","..","..","0.3","0.3","0.37","0.42","0.34","0.33","0.3","0.6","0.6","0.78","0.76","1.05","0.89","1.1","1.14","1","0.81","1.43","1.09","1.45","1.3","1.74","2.15","1.31","2.91","3.38","5.32","5.28","4.31","7.07","4.97","5.26","4.87","3.68","4.69","2.72","2.92","3.81","4.78","4.48","4.39","4.94","4.03","4.18","3.96","4.46","3.73","4.75"
