"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","Canada","","Flow Type(s):","Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Recipient(s)",
"All Recipients","","48.07","45.02","41.92","90.24","111.28","95.87","180.46","166.73","174.48","214.62","336.69","389.68","468.03","514.95","715.55","879.68","875.6","991.37","1059.91","1055.73","1075.11","1188.62","1196.67","1429.43","1624.89","1631.1","1695.17","1885.41","2346.64","2320.37","2469.87","2578.44","2515.6","2399.68","2249.59","2066.65","1795.43","2044.6","1706.64","1706.32","1743.54","1532.71","2004.28","2030.59","2599.18","3756.3","3683.21","4079.63","4794.73","4000.11","5214.11","5458.52","5649.47","4947.24"
"All Developing Countries","","48.07","45.02","41.92","90.24","111.28","95.87","180.46","166.73","141.85","160.16","267.68","294.59","338.32","349.45","496.35","611.96","528.71","475.4","648.17","593.52","657.33","746.09","826.65","849","1038.74","997.14","1054.25","1259.55","1583.22","1581","1690.28","1771.89","1706.73","1621.95","1422.71","1384.96","1356.28","1263.23","1222.49","1171.92","1160.2","1199.34","1500.66","1347.61","1991.04","2832.83","2533.89","3152.16","3366.67","3141.01","3926.4","4111.19","4027.44","3511.55"
"All Multilateral Recipients","","..","..","..","..","..","..","..","..","32.63","54.46","69.01","95.09","129.71","165.5","219.2","267.72","346.89","515.97","411.74","462.21","417.78","442.53","370.02","580.43","586.15","633.96","640.92","625.86","763.42","739.37","779.59","806.55","808.87","777.73","826.88","681.69","439.15","781.37","484.15","534.4","583.34","333.37","503.62","682.98","608.14","923.47","1149.32","927.47","1428.06","859.1","1287.71","1347.33","1622.03","1435.69"
"Afghanistan","","..","..","..","..","..","0.01","0.03","0.03","0.01","0.01","0.7","2.14","1.14","2.22","0.54","1.47","0.38","0.34","4.19","6.03","2.22","0.11","..","..","..","..","..","..","2.19","0.98","2.73","5.31","4.67","7.63","7.17","7.14","3.88","13.37","4.8","8.67","6.66","14.23","35.81","73.13","56.24","89.47","140.27","345.39","207.86","232.58","267.12","225.15","101.4","122.12"
"Albania","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.09","..","0.04","..","0.37","0.4","0.19","1.32","2.48","1.34","1.65","1.12","0.61","0.62","0.8","0.04","0.06","0.01","0.07","0.01","0.03"
"Algeria","","..","..","..","..","..","..","0.04","1.23","3.06","0.52","6.93","4.15","4.83","4.07","9.79","4.33","12.84","3.66","1.13","0.76","0.2","1.13","3.04","18.93","5.25","4.78","1.74","1.76","1.44","3.39","1.09","5.81","1.25","3.2","0.88","1.04","1.23","1.33","0.59","2.03","1.64","-0.21","0.34","1.91","1.09","1.9","-3.47","0.86","2.85","2.84","-0.5","-0.15","-0.83","-0.58"
"Angola","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.52","0.18","0.17","0.68","1.77","3.76","0.46","5.95","3.15","11.16","6.34","4.1","2.77","5.95","3.84","2.17","4.59","2.63","3.07","3.64","2.32","2.63","5.57","4.82","4.04","1.39","4.49","0.44","0.9","0.66","1.02","0.2","0.54"
"Anguilla","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.1","0.06","0.08","0.06","0.26","0.39","0.14","0.13","0.1","0.06","0.05","0.07","0.02","..","..","0.01","0.02","..","0.01","..","..","..","0.02","1.57","0.01","2.39","0.03","1.31","..","..","..",".."
"Antigua & Barbuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.17","0.05","1.32","2.97","1.32","1.43","1.59","4.75","1.41","0.65","0.96","0.65","0.26","1.22","2.53","1.93","1.16","1.87","2.3","0.55","0.12","..","0.03","0.16","0.03","0.06","0.04","0.04","0.07","0.06","0.05","1.58","0.06","1.71","0.05","1.93","..","0.01","0.06","0.05"
"Argentina","","..","..","0.88","12.84","-0.95","-2.01","0.01","-1.03","..","..","0.38","0.36","..","..","..","..","..","-0.02","-0.02","-0.02","-0.02","-0.02","0.7","0.68","1.33","1.45","1.48","1.78","2.18","2.56","2.19","1.83","2.22","1.69","1.37","1.29","1.1","1.41","0.91","0.94","1.14","0.72","2.05","2.58","2.29","3.54","1.47","3.56","1.89","2.11","1.03","2.49","1.03","2.18"
"Armenia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.59","0.37","0.72","..","0.02","0.22","0.74","0.38","0.43","0.72","0.92","0.62","0.97","0.13","1.91","0.26","0.73","0.01","0.03","0.06","0.09"
"Aruba","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Azerbaijan","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.39","0.51","0.04","..","0.08","0.2","0.58","0.32","0.32","0.76","1.05","0.87","1.35","0.08","1.52","0.16","0.27","..","0.04","0.01","0.14"
