"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","Denmark","","Flow Type(s):","Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Recipient(s)",
"All Recipients","","0.66","2.09","0.66","0.6","2.2","4.52","10.48","12.46","28.73","54.7","59.15","74.35","95.54","131.61","168.16","205.33","214.05","257.52","387.94","460.28","480.2","402.93","413.77","394.15","448.77","439.54","695.02","859.25","921.66","937.07","1171.16","1200.22","1392.1","1339.93","1446.29","1622.67","1772.41","1636.61","1704.32","1733.32","1664.14","1634.42","1643.24","1748.16","2037.13","2108.92","2236.12","2562.23","2803.28","2809.88","2870.99","2931.1","2692.59","2927.46"
"All Developing Countries","","0.66","2.09","0.66","0.6","2.2","4.52","10.48","12.46","15.84","31.24","37.47","36.38","45.98","71.68","93.27","110.82","117.13","147.1","217.6","259.62","265.98","202.66","215.02","236.52","222.68","228.44","362.2","459.01","477.71","522.33","695.03","686.31","756.89","754.51","802.68","894.63","1057.78","1009.86","1014.41","1025.74","1023.47","1034.6","1038.29","1031.59","1202.05","1357.48","1463.91","1650.52","1828.33","1905.45","2108.74","2144.32","1921.51","2134.52"
"All Multilateral Recipients","","..","..","..","..","..","..","..","..","12.89","23.46","21.68","37.97","49.56","59.93","74.89","94.51","96.92","110.42","170.34","200.66","214.22","200.27","198.75","157.63","226.09","211.1","332.82","400.24","443.95","414.74","476.13","513.91","635.21","585.42","643.61","728.04","714.63","626.75","689.91","707.58","640.67","599.82","604.95","716.57","835.08","751.44","772.21","911.71","974.95","904.43","762.25","786.78","771.08","792.94"
"Afghanistan","","..","..","..","..","..","..","..","0.01","0.02","0.02","0.02","0.02","0.05","0.12","0.05","0.93","2.57","0.06","0.41","-0.04","1.83","0.69","0.96","0.1","0.18","0.02","-0.27","-0.14","-0.16","1.63","1.58","2.71","3.15","4.32","1.98","5.62","3.85","2.84","2.68","2.72","0.32","2.41","7.75","17.91","14.18","23.64","29.63","40.74","50.38","86.01","76.84","90.15","81.48","59.44"
"Albania","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.56","2.42","2.8","1.49","1.68","2.21","3.41","3.92","3.31","2.08","0.03","0.35","0.26","0.29","2.29","0.68","1.49","1.42","1.58","1.03"
"Algeria","","..","..","..","..","..","..","..","..","..","0.01","..","0.07","0.01","0.04","0.51","2.57","0.3","0.08","0.03","0.05","-0.02","-0.15","-0.13","-0.12","-0.1","-0.11","0.19","-0.15","-0.16","-0.08","-0.27","-0.09","-0.27","-0.17","..","..","..","..","..","-0.01","-0.01","-0.02","-0.01","0.05","-0.05","-0.06","-0.55","..","..","..","5.31","..","..","0.11"
"Angola","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.14","1.64","0.13","1.96","1.34","2.33","5.26","5.97","2.15","1.3","0.9","4.48","6.03","4.25","0.08","0.05","2.52","1.41","0.01","..","0.02","1.4","0.83","1.6","1.84","7.67","2.98","0.97","0.61","0.12","4.22","7","6.43","5.98","3.79","1.23","1.17","0.01","2.84"
"Anguilla","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Antigua & Barbuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Argentina","","..","..","..","..","..","..","..","..","..","..","..","..","0.01","0.01","0.01","0.02","0.04","0.06","0.46","0.05","0.05","0.02","0.01","0.01","..","..","..","..","..","..","..","..","0.7","..","..","-0.93","0.7","0.1","..","-0.31","-0.61","0.02","0.01","..","..","..","..","-0.69","-0.21","..","..","-4.19","..",".."
