"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","Finland","","Flow Type(s):","Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Recipient(s)",
"All Recipients","","..","..","..","..","..","..","..","..","..","..","6.8","13.32","20.41","28.03","37.92","48.17","50.68","47.23","52.92","83.42","107.66","134.71","144.02","152.9","177.26","210.87","312.76","432.83","607.6","706.39","846.33","930.1","643.74","355.13","290.08","388.34","408.18","378.9","396.4","416.51","370.77","388.94","462.2","558.45","679.83","901.95","834.5","981.37","1165.71","1290.25","1332.98","1406.04","1319.71","1435.36"
"All Developing Countries","","..","..","..","..","..","..","..","..","..","..","1.3","3.12","7.64","13.79","14.84","27.29","28.52","26.87","22.86","42.36","65.35","78.33","86.14","92.66","107.98","127.65","187.6","262.71","379.61","435.5","497.88","585.54","421.23","242.05","213.61","220.16","214.63","200.09","208.94","240.7","217.03","224.31","251.33","308.69","401.71","596.74","454.7","584.07","693.16","791.17","839.13","839.31","795","822.2"
"All Multilateral Recipients","","..","..","..","..","..","..","..","..","..","..","5.5","10.2","12.77","14.24","23.08","20.88","22.16","20.36","30.06","41.06","42.31","56.38","57.88","60.24","69.28","83.22","125.16","170.12","227.99","270.89","348.45","344.56","222.51","113.08","76.47","168.18","193.55","178.81","187.46","175.81","153.74","164.63","210.87","249.76","278.12","305.21","379.8","397.3","472.55","499.08","493.85","566.73","524.71","613.15"
"Afghanistan","","..","..","..","..","..","..","..","..","..","..","..","..","0.04","0.02","..","0.07","0.03","..","..","0.06","0.01","..","..","..","0.02","0.02","..","..","0.54","1.11","0.15","2.28","1.43","1.47","1.3","1.39","3.53","2.61","2.91","3.6","4.96","8.72","15.26","13.57","15.45","14.57","15.26","19.16","26.07","28.04","25.82","31.05","33.72","34.41"
"Albania","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.02","0.63","0.26","0.17","0.19","0.22","0.11","0.93","0.41","0.37","0.33","0.46","0.95","1.34","1.41","0.71","0.76","0.33","0.5","0.48","0.63","0.57","0.33","0.44"
"Algeria","","..","..","..","..","..","..","..","..","..","..","..","0.01","0.02","0.03","0.03","0.04","..","..","..","..","..","0.23","..","..","..","..","0.27","..","..","0.01","0.06","0.4","0.23","0.11","..","..","0.01","0.01","..","0.05","0.08","0.18","0.19","0.25","0.37","0.68","0.46","1.14","0.47","0.56","0.19","0.17","0.16","0.2"
"Angola","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.03","0.29","0.2","..","0.03","0.21","1.12","2.79","1.3","0.72","1.06","1.44","0.42","0.75","1.45","1.68","3.75","0.66","1.18","3.62","1.29","2.04","3.16","3.89","5.26","2.91","2.41","2.03","2.4","2.16","1.95","1.57","1.86","0.95"
"Anguilla","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Antigua & Barbuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.02","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.03","0.01","0.02","0.02"
"Argentina","","..","..","..","..","..","..","..","..","..","..","..","..","..","0.03","0.03","0.02","..","..","..","..","..","..","..","..","..","0.01","0.01","0.02","0.03","0.07","0.05","0.07","0.14","..","0.09","0.06","0.04","0.07","0.13","0.01","0.08","0.07","0.02","0.12","0.17","0.23","0.32","0.18","0.45","0.28","0.2","0.19","0.11","0.11"
"Armenia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.28","..","0.28","0.2","0.09","..","0.01","..","..","0.07","0.25","0.27","0.31","0.3","0.13","0.24","0.2","0.11"
"Aruba","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Azerbaijan","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.63","..","0.19","0.18","0.28","0.12","0.08","0.07","0.49","0.17","0.18","0.05","0.2","0.16","0.45","0.67","0.34","0.48"
"Bahamas","","..","..","..","..","..","..","..","..","..","..","..","..","0.02","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Bahrain","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Bangladesh","","..","..","..","..","..","..","..","..","..","..","..","..","0.22","0.26","0.12","0.01","1.11","2","0.18","0.37","2.05","2.42","0.19","0.62","3.08","4.23","2.28","2.73","18.1","14.61","12.44","15.8","10.59","4.26","5.03","4.71","1.04","0.81","0.7","0.62","0.63","0.5","0.61","0.71","0.67","0.98","0.81","1.17","1.39","1.22","1.63","0.82","0.77","0.84"
"Barbados","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","..","..","0.01","..","..","0.88","..","0.5","0.02","0.01","-0.17","-0.15","-0.17","-0.07","-0.07","-0.17","-0.12","-0.03","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Belarus","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","..","0.1","0.17","0.37","0.37","0.41","0.36","0.38"
"Belize","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.04","..","..","..","0.02","0.03","0.04","0.01","0.03","0.03","0.06","0.01","0.02","..","0.03"
"Benin","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","..","..","..","..","..","..","..","..","..","0.06","0.04","..","..","..","..","..","0.01","..","0.09","0.14","0.14","0.3","0.04","..","0.1","0.21","0.17","0.45","0.69","0.37","0.26","0.16"
"Bermuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Bhutan","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.02","..","..","..","..","..","0.01","..","0.09","0.08","0.42","0.47","0.19","0.31","0.16","0.13","0.22","0.06","0.03","..","..","..","0.04","..","..","..","..","..","0.02","0.04","0.08","..","0.04","0.08","0.17","0.26","0.26","0.39","0.5"
