"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","France","","Flow Type(s):","Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Recipient(s)",
"All Recipients","","783.6","870","860.8","821.4","810.4","663.5","503.9","753.1","638.9","722.4","730.8","802.8","956.82","1059.47","1167.67","1478.41","1415.25","1447.7","1800.33","2409.77","2886.87","2963.61","3049.78","2903.62","3026.03","3133.52","4042.13","5249.56","5427.6","5801.75","7163.48","7385.54","8271.4","7915.17","8466.08","8443.34","7451.22","6305.76","5741.59","5639.3","4104.75","4198.04","5486.17","7252.77","8472.53","10026.27","10600.61","9883.54","10907.63","12601.59","12915.12","12997.23","12028.27","11338.67"
"All Developing Countries","","783.6","870","860.8","821.4","810.4","663.5","503.9","753.1","590.7","627.2","627.9","674.1","765.36","865.35","941.5","1173.89","1118.32","1110.86","1459.82","1841.74","2187.66","2331.54","2328","2238.92","2407.69","2400.74","3099.16","4051.05","4163.08","4486.93","5612.11","5771.75","6303.71","6153.73","6611.2","6428.72","5754.18","4775.74","4184.52","4127.51","2828.8","2595.79","3615","5213.39","5566.8","7239.19","7919.4","6258.44","6668.97","7186.79","8055.56","8494.69","7929.17","6800.51"
"All Multilateral Recipients","","..","..","..","..","..","..","..","..","48.2","95.2","102.9","128.7","191.46","194.12","226.17","304.52","296.93","336.84","340.51","568.03","699.21","632.07","721.78","664.7","618.34","732.78","942.97","1198.51","1264.52","1314.82","1551.37","1613.79","1967.69","1761.44","1854.88","2014.62","1697.04","1530.02","1557.07","1511.79","1275.95","1602.25","1871.17","2039.38","2905.73","2787.08","2681.21","3625.1","4238.66","5414.8","4859.56","4502.54","4099.1","4538.16"
"Afghanistan","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.79","..","..","..","..","0.7","0.88","1.12","0.8","0.7","3.15","0.52","0.85","0.66","1.88","1.87","1.5","1.41","2.05","4.39","3.48","2.52","1.69","2.25","1.33","0.71","9.61","11.86","12.45","15.03","17.71","14.62","19.54","19.9","49.81","58.56","65.73","67.58","49.65"
"Albania","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.49","1.57","1.97","5.54","1.06","3.07","2.19","1.84","2.56","1.81","2.01","2.95","3.45","6.59","7.29","4.49","5","4.38","4.24","4.25","4.2","4.21","4.67"
"Algeria","","354.1","435.9","357.6","239.4","182.4","135.1","97.7","92","110.2","110.4","99.2","89.6","84.77","77.53","64.82","80.31","69.87","64.5","65.87","75.41","75.3","61.46","44.66","38.96","38.95","36.78","45.89","58.3","55.69","55.24","122.18","171.22","223.11","199.51","209.26","183.87","241.11","136.69","115.85","74.32","57.3","63.51","89.58","125.04","172.93","231.83","173.42","185.18","121.75","94.49","69.78","73.29","57.92","72.07"
"Angola","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.2","0.5","1.41","1.1","1.08","1.35","6.25","3.73","5.8","7.41","11.13","10.58","26.97","18.55","27.44","35.1","11.93","5.64","7.05","8.65","7.7","5.94","9.85","14.26","21.88","9.93","-97.09","3.24","2.92","4.15","4.09","4.24","5.31","5.27"
"Anguilla","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Antigua & Barbuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","..","..","..","0.01","0.58","0.02","0.01","0.02","0.03","..","0.02","0.01","..","..","..","0.15","0.01"
"Argentina","","3.2","..","0.6","-1.1","11.5","-3.3","3.1","-4.2","-4.2","-4.6","-4.2","-1.4","-1.85","..","..","..","..","..","..","..","1.25","0.91","1.25","3.4","3.49","2.9","4.62","5.74","4.98","4.55","5.63","6.02","7.47","7.11","7.37","9.06","7.77","6.62","7.51","7.63","7.51","5.9","11.74","10.5","13.6","12.33","15.87","16.8","12.75","12.27","13.5","10.95","12.2","12.85"
