"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","Germany","","Flow Type(s):","Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Recipient(s)",
"All Recipients","","241.61","329.13","347.41","398.93","413.28","432.02","373.54","436.25","556.89","579.3","598.77","734.21","808.2","1102","1433.37","1688.77","1592.68","1716.6","2347.42","3392.94","3566.52","3181.22","3151.63","3176.4","2782.01","2942.04","3831.53","4390.53","4730.88","4948.27","6319.71","7021.49","7588","6953.95","6817.91","7523.55","7600.88","5856.78","5580.68","5515.27","5030.08","4989.51","5339.17","6784.23","7534.24","10082.1","10434.78","12290.64","13980.87","12079.3","12985.33","14092.89","12939.49","14228.26"
"All Developing Countries","","241.61","329.13","347.41","398.93","413.28","432.02","373.54","436.25","446.89","451.63","466.12","529.55","601.37","791.45","1015","1160.86","1044.14","1028.15","1560.65","2203.77","2323.47","2244.07","2265.23","2100.98","1868.02","1980.04","2642.46","3090.19","3172.05","3174.81","4478.86","4706.95","5246.91","4516.99","4143.52","4814.55","4535.16","3638.5","3490.52","3277.56","2686.7","2853.4","3327.84","4059.86","3822.61","7446.79","7034.04","7949.76","9062.68","7096.66","8035.51","8736.22","8584.03","9451.12"
"All Multilateral Recipients","","..","..","..","..","..","..","..","..","110","127.67","132.65","204.66","206.83","310.55","418.37","527.91","548.54","688.45","786.77","1189.17","1243.05","937.15","886.4","1075.42","913.99","962","1189.07","1300.34","1558.83","1773.46","1840.85","2314.54","2341.09","2436.96","2674.39","2709","3065.72","2218.28","2090.16","2237.71","2343.38","2136.11","2011.33","2724.37","3711.63","2635.31","3400.74","4340.88","4918.19","4982.64","4949.82","5356.67","4355.47","4777.14"
"Afghanistan","","0.65","3.38","2.15","2.81","6.63","15.81","16.41","9.61","6.84","5.57","7.14","12.02","10.84","5.08","1.68","9.7","6.54","2.3","5.8","12.94","1.35","-2.93","-0.75","-0.89","-0.61","1.28","-2.62","0.44","7.89","8.62","8.07","5.52","14.99","16.06","21.64","15.61","17.42","18.51","11.61","16.46","10.63","44.14","92.57","82.1","75.13","99.23","117.99","217.15","294.02","337.34","469.76","539.3","515.54","548.69"
"Albania","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","3.22","2.55","2.12","23","13.73","18.59","16.84","21.3","33.43","26.52","23.38","23.34","19.45","24.55","24.69","21.13","23.61","30.46","29.58","45.99","44.71","58.82","35.35","38.76","25.87","29.7"
"Algeria","","..","..","0.6","0.29","0.39","0.91","0.64","0.94","1.34","0.91","1.08","0.79","2.02","3.79","21.41","16.34","38.41","26.84","29.01","9.92","28.62","3.93","3.89","1.59","1.12","-1.72","-2.92","-1.33","11.03","2.56","5.36","1.8","23.52","5.2","11.01","27.1","-23.82","13.52","4.64","2.22","5.78","0.6","-3.93","0.06","-2.59","2.56","-25.48","9.38","12.47","13.07","10.23","10.39","7.68","6.1"
"Angola","","..","..","..","0.01","..","..","..","0.01","0.01","0.01","0.09","0.06","0.05","0.06","0.08","1.18","0.5","-0.05","0.22","0.49","0.24","2.13","1.62","1.47","2.53","2.47","4.14","6","7.18","5.31","10.01","8.85","6.81","8.37","18.22","16.98","25.27","15.72","11.83","18.02","11.32","9.94","16.48","13.46","12.95","12.24","11.35","12.26","11.65","8.4","7.05","5.68","4.83","4.16"
"Anguilla","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","0.02","0.02","0.01","..","..","..","..","..","..","..","..","..","..","..","0.02","0.21","..","..",".."
"Antigua & Barbuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","0.03","..","..","..","0.03","0.03","0.02","0.16","0.09","0.03","0.03","0.01","0.05","0.01","..","0.04","0.01","0.01","..","..","..","0.01","0.01","..","..","..","0.01","..","0.01","0.04","0.01","0"
"Argentina","","12.26","14.88","-1.61","1.56","-15.23","-20.21","2.04","2.08","2.35","15.72","14.89","9.55","11.63","10.46","9.55","8.03","8.72","10.01","10.28","14","18.13","15.76","16.56","16.75","9.87","12.64","26.02","22.32","29.27","21.29","40.57","29.92","45.87","34.16","31.54","20.48","10.3","10.76","17.96","11.62","7.4","9.23","13.08","16.85","10.87","13","10.92","11.93","22.12","22.7","21.93","21.84","21.41","19.57"
