"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","Ireland","","Flow Type(s):","Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Recipient(s)",
"All Recipients","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","6.04","7.6","8.42","8.52","25.43","29.43","30.17","28.02","46.5","32.77","34.6","39.25","62.42","51.35","56.59","48.7","57.28","72.45","70.39","81.14","110.71","153.33","178.54","187.16","198.62","245.36","234.01","286.61","397.78","503.58","607.49","718.97","1021.67","1192.16","1327.84","1005.87","895.18","913.52","808.36","845.87"
"All Developing Countries","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1.03","0.87","1.37","1.71","5.22","9.52","9.75","10.35","12.23","13.96","14.63","17.22","25.29","27.34","21.91","19.13","22.91","29.65","27.93","40.54","57.57","87.86","113.8","120.48","123.52","148.76","153.94","184.4","267.16","351.76","409.64","482.27","632.29","824.08","930.68","693.29","585.27","603.67","536.18","545.59"
"All Multilateral Recipients","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","5.01","6.73","7.05","6.81","20.21","19.91","20.42","17.67","34.27","18.81","19.97","22.03","37.13","24.01","34.68","29.57","34.37","42.8","42.46","40.6","53.14","65.47","64.74","66.68","75.1","96.6","80.07","102.21","130.62","151.82","197.85","236.7","389.38","368.08","397.16","312.58","309.91","309.85","272.18","300.28"
"Afghanistan","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.11","..","0.05","..","..","0.1","0.07","0.23","0.3","0.55","0.31","0.42","0.54","4.6","6.57","5.25","4.55","3.13","4.59","7.4","6.31","7.11","9.12","9.1","7.18","4.86"
"Albania","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.09","0.01","0.11","0.14","0.18","0.24","0.52","0.06","0.29","0.42","0.64","0.7","1","0.92","0.92","0.74","0.07","0.01","0.07","0.07"
"Algeria","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.57","..","..","..","..","..","..","..","0.35","0.01",".."
"Angola","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.08","0.09","..","1.17","1.13","0.6","0.8","1.46","0.62","1.66","1.67","1.93","3.23","6.51","4.09","3.55","2.9","3.01","3.46","2.41","1.17","1.14","0.57","0.74"
"Anguilla","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Antigua & Barbuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Argentina","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","0.01","0.01","0.01","..","..","..","..","..","..","..","..","..","0.01","..","0.01","0.04","0.02","0.2","0.16","0.15","0.14","..","0.22","0.15","0.16","0.17","0.23","0.49","0.33","0.3","0.31","0.26","0.05","0.14"
