"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","Italy","","Flow Type(s):","Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Recipient(s)",
"All Recipients","","83.83","70.42","78","109","59.49","53.53","51.69","113.63","146.07","129.52","147.16","182.71","101.91","191.96","216.2","182.3","226.32","198.11","376.47","272.99","683.28","657.57","810.75","833.68","1132.83","1097.98","2403.46","2615.33","3192.84","3613.3","3394.96","3347.24","4122.16","3043.37","2704.63","1622.66","2415.58","1265.54","2278.31","1805.64","1376.23","1626.79","2332.13","2432.85","2461.57","5090.88","3641.08","3970.64","4860.66","3297.51","2996.4","4325.65","2737.12","3430.08"
"All Developing Countries","","83.83","70.42","78","109","59.49","53.53","51.69","113.63","122.45","104.87","62.73","137.06","51.02","118.18","0.31","58.83","78.29","34.9","22.3","22.47","83.66","172.16","308.8","448.75","624.84","781.42","1486.77","1877.88","2407.83","2189.14","2112.09","2244.87","2430.7","1930.14","1834.38","805.7","811.12","453.7","697.43","450.63","376.75","442.2","1006.56","1061.27","704.17","2269.54","2000.93","1270.33","1838.26","874.73","759.15","1702.39","623.98","867.41"
"All Multilateral Recipients","","..","..","..","..","..","..","..","..","23.62","24.65","84.43","45.65","50.89","73.78","215.89","123.47","148.03","163.21","354.17","250.52","599.62","485.41","501.95","384.93","507.99","316.56","916.69","737.45","785.01","1424.16","1282.87","1102.37","1691.46","1113.23","870.25","816.96","1604.46","811.84","1580.88","1355.01","999.48","1184.59","1325.57","1371.58","1757.4","2821.34","1640.15","2700.31","3022.4","2422.78","2237.25","2623.26","2113.14","2562.67"
"Afghanistan","","0.01","..","..","..","0.03","0.06","..","0.06","0.01","0.01","0.01","0.01","0.05","0.03","0.03","0.09","0.1","0.07","0.06","0.07","0.01","..","..","0.2","..","..","0.69","..","1.08","..","..","0.4","..","0.32","0.62","0.61","0.65","0.59","0.86","0.4","0.71","22.11","28.34","38.16","37.31","27.39","32.5","62.04","116.71","67.41","54.34","55.27","47.5","59.47"
"Albania","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.15","4.67","5.35","289.98","133.47","41.29","9.47","13.36","27.63","30.89","13.74","73.56","18.34","21.66","24.11","20.8","18.25","8.64","30.13","18.36","33.58","37.4","54.8","40.42","32","9.49"
"Algeria","","..","..","..","..","0.13","0.13","..","0.1","0.06","0.1","1.34","8.05","-0.26","-0.58","-0.53","0.44","0.62","0.91","0.41","0.84","0.46","3.71","6.34","0.93","1.09","1.31","1.26","1.96","1.42","3.04","9.27","20.59","15.42","26.26","22.6","17.76","23.21","14.96","3.81","-3.57","-1.04","-2.95","8.46","18.74","29.69","9.51","10.87","5.06","10.18","3.77","4.87","6.11","0.74","0.42"
"Angola","","..","..","..","..","..","0.02","..","..","..","..","..","..","..","..","..","0.01","0.25","0.56","0.58","0.21","0.16","0.43","4.16","17.45","11.15","16.31","31.56","28.38","24.34","18.53","37.69","29.97","46.6","34.53","19.15","11.71","12.5","9.18","11.04","24.98","7.23","11.89","7.07","28.07","8.41","11.55","-31.36","-30.6","32.01","1.45","0.23","-0.6","1.35","1.33"
"Anguilla","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Antigua & Barbuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01"
"Argentina","","-1.11","1.56","4.73","1.34","5.55","-14.25","-24.12","9.44","-8.28","-7.05","-10.29","-1.46","-4.06","0.53","0.51","0.85","0.71","0.53","0.62","0.84","0.97","1.04","1.38","1.47","2.99","4.38","9.37","9.73","46.81","114.59","81.93","153.18","104.63","115.78","51.51","-5.61","7.03","-5.06","-13.85","-18.63","-11.66","-19.81","-1.58","2.88","4.02","21.57","26.5","-16.45","3.36","1.33","0.44","5.07","0.82","0.17"
