"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","Japan","","Flow Type(s):","Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Recipient(s)",
"All Recipients","","77.66","97.11","80.9","128.1","106.28","226.09","234.78","345.93","352.96","435.67","457.98","510.67","611.08","1010.97","1126.2","1147.72","1102.29","1421.55","2212.83","2685.02","3350.89","3168.14","3006.29","3760.95","4318.73","3796.77","5634.46","7341.56","9114.19","8964.93","9068.81","10952.29","11154.92","11259.01","13238.55","14489.26","9439.26","9358.03","10640.1","12162.63","13507.96","9846.79","9282.95","8879.66","8922.46","13125.44","11135.75","7697.18","9600.75","9466.57","11057.77","10831.42","10604.5","11581.64"
"All Developing Countries","","77.66","97.11","80.9","128.1","106.28","226.09","234.78","345.93","306.06","339.67","371.51","432.02","477.79","765.18","880.37","850.4","752.94","899.25","1530.97","1968.77","2010.1","2260.4","2367.3","2425.19","2427.38","2556.91","3846.26","5134.77","6421.91","6778.53","6786.49","8860.29","8388.5","8043.72","9557.81","10418.52","8207.22","6552.21","8553.11","10475.76","9768.13","7457.78","6692.27","6334.23","5917.17","10385.08","7261.75","5778.17","6823.28","6176.21","7337.44","6943.01","6402.2","8611.49"
"All Multilateral Recipients","","..","..","..","..","..","..","..","..","46.9","96","86.47","78.65","133.29","245.79","245.83","297.32","349.35","522.3","681.86","716.25","1340.79","907.74","638.99","1335.76","1891.35","1239.86","1788.2","2206.79","2692.28","2186.4","2282.32","2092","2766.42","3215.29","3680.74","4070.74","1232.04","2805.82","2086.99","1686.87","3739.83","2389.01","2590.68","2545.43","3005.29","2740.36","3874","1919.01","2777.47","3290.36","3720.33","3888.41","4202.3","2970.15"
"Afghanistan","","0.01","0.17","0.11","0.07","0.1","0.1","0.1","0.09","0.16","0.21","0.82","0.72","2.4","0.9","0.63","0.99","1.64","6.08","4.86","11.89","0.41","-0.09","0.01","-0.09","-0.3","..","..","-0.04","..","0.01","0.03","0.02","0.02","0.02","..","..","0.01","0.02","0.02","0.14","0.21","0.58","31.7","134.42","172.52","71.05","107.42","101.01","208.03","335.93","745.66","750.34","873.58","831.03"
"Albania","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","0.09","0.17","0.4","0.4","8.85","4.09","2.7","10.79","2.68","15.17","7.09","6.72","4.03","10.67","9.82","17.63","1.91","-1.6","-2.48","-2.01","2.44","5.85","-0.69","-0.51"
"Algeria","","..","..","..","..","..","..","..","0.01","0.02","0.01","0.02","0.02","0.05","0.09","0.1","0.19","3.29","14.25","19.53","5.99","4.82","3.62","0.24","0.73","0.88","-0.73","-2.54","-3.76","-3.36","-2.72","0.29","1.96","2.7","-1.24","-0.86","2.21","0.9","2.07","-1.97","-5.03","-4.88","-4","-2.18","0.14","-0.98","1.86","-11.68","7.26","4.03","1.86","15.48","1.43","2","1.59"
"Angola","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","0.02","..","0.02","0.03","0.02","..","..","0.47","1.38","-2","..","..","0.08","2.99","0.1","0.11","0.12","5.17","11.98","17.85","21.95","21.47","20.71","27.21","33.1","25.47","26.3","12.41","23.1","17.75","6.76","37.62","11.42","13.79","15.17"
"Anguilla","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Antigua & Barbuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","..","0.02","0.02","..","0.09","0.01","0.09","..","0.03","0.06","0.03","..","..","0.01","0.33","4.04","7.12","0.48","3.81","8.75","2.74","1.27","5.42","1.99","0.21","0.63","0.97","6.76","9.64","0.8","0.35"
"Argentina","","-5.78","4.9","-3.72","-6.38","-9.13","-9.47","0.02","0.07","-1.48","-2.01","-1.99","-2","-2.88","0.27","0.26","0.3","0.72","1.79","1.85","4.66","7.53","8.68","3.48","5.61","8.67","8.44","16.2","20.16","26","31.89","16.4","27.1","23.73","31.18","17.98","41.71","19.02","22.77","18.85","36.96","37.29","16.51","12.88","11.58","9.26","10.97","7.99","15.09","5.89","9","40.33","8.73","10.1","1.11"
"Armenia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.04","0.06","0.01","4.31","5.52","3.44","9.14","5.18","11.36","7.02","4.68","5.37","7.68","85.23","57.7","98.7","77.45","7.41","0.31","1.33"
"Aruba","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Azerbaijan","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.07","..","0.04","0.06","0.3","2.84","3.47","10.83","36.39","100.97","141.84","79.82","9.64","8.25","4.06","11.36","-2.8","-2.03","-11.01","105.47","155.36","42.85"
"Bahamas","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","..","..","..","..","..","..","0.01","0.01","0.01","0.05","0.01","0.02","0.03","..","0.02","0.1","0.02","0.05","0.08","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
