"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","Korea","","Flow Type(s):","Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Recipient(s)",
"All Recipients","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","23.5","33.96","33.88","61.18","57.59","76.86","111.63","140.26","115.99","159.16","185.63","182.7","317.48","212.05","264.64","278.75","365.88","423.39","752.38","455.27","696.12","802.33","816.04","1173.75","1324.53","1597.46","1755.38"
"All Developing Countries","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1.4","2.06","5.11","12.25","31.62","45.27","60.19","60.11","71.46","123.32","111.35","124.68","131.34","131.15","171.53","206.73","245.15","330.83","463.35","376.08","490.54","539.21","581.1","900.61","989.52","1183.17","1309.58"
"All Multilateral Recipients","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","22.1","31.9","28.77","48.93","25.97","31.59","51.44","80.15","44.53","35.84","74.28","58.02","186.14","80.9","93.11","72.02","120.73","92.56","289.03","79.19","205.58","263.12","234.94","273.14","335.01","414.29","445.8"
"Afghanistan","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","..","0.11","0.2","0.14","..","..","..","..","0.06","..","..","..","4.78","21.12","21.54","8.89","2.15","2.58","4.02","24.09","93.68","27.99","78.5","122.41"
"Albania","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.1","0.08","0.07","0.05","0.06","0.11","0.05","0.12","0.01","0.01","0.01","0.02","0.09","7.2","0.1","16.94","4.48","0.29","..","0.01","0.07","0.05",".."
"Algeria","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","..","..","0.03","0.11","0.03","0.08","..","0.01","0.02","..","0.03","0.07","0.31","1.16","0.14","0.34","1.82","2.72","3.46","2.6","2.89","3.87","2.44","4.39"
"Angola","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","0.17","0.13","0.12","0.14","0.15","0.09","0.02","..","8.61","1.04","..","..","..","0.02","10.09","17.41","25.92","28.34","18.83","16.75","7.98","10.28"
"Anguilla","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Antigua & Barbuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.03","0.02","0.02","0.02","0.05","0.02","0.02","0.01","0.02","..","0.01","0.1","0.01","0.04","0.1","0.21","0.07","..","..","0.01","0.02","0.27","0.12"
"Argentina","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.02","..","..","0.12","0.05","..","..","0.01","0.02","0.01","0.01","..","0.01","0.04","0.09","0.09","0.18","0.19","0.04","0.18","0.1","0.17","0.11","0.03",".."
"Armenia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.02","0.02","0.01","0.07","0.02","0.01","0.03","0.02","0.02","0.11","0.09","0.06","0.13","0.05","0.16","0.04","0.86","1.49","0.13",".."
"Aruba","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Azerbaijan","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.05","..","0.01","0.02","0.01","0.06","0.06","0.02","0.08","0.03","0.07","0.13","0.3","0.78","3.87","1.67","4.07","11.29","6.2","10.32"
"Bahamas","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.04","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Bahrain","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.25","0.32","0.24","0.03","0.02","0.02","0.04","0.02","0.01","..","0.04","..","0.01","0.09","..","..","..","..","..","..","..","..",".."
"Bangladesh","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","0.55","0.19","0.01","0.21","0.25","0.3","0.36","1.06","1.27","0.89","11.88","11.96","6.42","0.87","2.08","10.07","23.51","31.94","22.19","10","8.05","13.55","54.67","80.02","46.76","44.71"
"Barbados","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.09","0.05","0.04","0.04","0.03","0.03","0.02","..","..","..","0.01","0.09","0.01","..","0.05","0.05","0.06","..","..","..","..","..",".."
"Belarus","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.03","0.03","0.05","0.44","0.05","0.09","0.25","0.26","0.19"
