"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","Luxembourg","","Flow Type(s):","Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Recipient(s)",
"All Recipients","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","25.4","41.62","36.35","49.62","40.38","68.34","82.3","94.51","111.79","118.66","122.97","138.94","146.76","193.82","235.59","256.41","290.72","375.58","414.94","414.74","402.7","409.2","399.03","429.32"
"All Developing Countries","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","14.9","25.7","20.27","31.41","40.38","44.84","56.64","66.2","76.77","88.54","98.55","107.21","115.72","149.63","171.12","187","204.88","253.49","278.51","265.98","262.02","279.68","276.64","298.81"
"All Multilateral Recipients","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","10.5","15.92","16.08","18.21","..","23.5","25.66","28.31","35.02","30.12","24.42","31.73","31.04","44.19","64.47","69.41","85.84","122.09","136.43","148.76","140.68","129.52","122.39","130.51"
"Afghanistan","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.3","0.15","0.34","0.14","0.18","0.52","0.47","0.45","0.52","0.14","0.18","6.08","4.72","1.51","0.96","1.46","2.13","3.2","3.59","3.74","3.19","3.47","3.02","4.13"
"Albania","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.16","0.14","0.18","0.07","0.75","0.31","0.31","2.94","1.06","..","0.27","0.68","0.92","1.47","1.99","1.66","0.68","0.3","0.09","0.04","0.16","0.01"
"Algeria","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.05","..","..","..","0.11","..","0.11","..","0.02","0.15","..","0.02","..","..","..","0",".."
"Angola","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.3","..","0.19","..","..","0.48","..","0.28","..","0.01","0.48","0.44","0.7","0.11","0.23","..","..","..","..","..","..","..","..",".."
"Anguilla","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Antigua & Barbuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Argentina","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.06","0.03","0.05","0.04","0.05","0.36","0.2","0.12","0.41","0.13","0.23","..","0.18","0.06","0.08","0.1","0.21","0.17","0.23","0.14","0.15","0.17","0.09","0.16"
"Armenia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.16","0.14","0.18","0.19","..","..","..","0.3","0.2","..","..","..","0.25","0.08","..","..","..","..","0.11","0.1","0.12",".."
"Aruba","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Azerbaijan","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.14","0.18","..","0.19","..","..","..","..","..","..","0.14","..","0.02","..","..","..","..","0.08","0.1","0.1","0.01"
"Bahamas","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Bahrain","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Bangladesh","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.3","0.46","0.14","0.02","0.03","0.24","0.01","0.12","0.1","0.22","0.11","..","0.32","0.24","0.61","0.3","0.22","0.45","0.57","0.62","0.87","1.67","1.4","2.22"
"Barbados","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Belarus","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.07","0.02","0.03","0.02","..","..","0.01","..",".."
"Belize","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.04","..","..","..","..","..","..","..","..","..","..","..",".."
"Benin","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.07","0.08","0.07","0.03","0.04","0.12","0.03","0.38","0.38","0.31","0.78","..","0.73","1.47","1.42","1.58","5.25","4.28","0.86","1.16","1.96","1.45","1.26","1.32"
"Bermuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Bhutan","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Bolivia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","0.04","0.34","0.13","0.17","0.14","0.94","0.13","0.41","0.07","0.12","0.12","0.39","1.1","0.59","1.12","0.97","1.08","1.1","0.96","1.19","1.24","1.75","1.27"
"Bosnia-Herzegovina","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.37","0.91","1.37","1.44","1.22","0.89","0.58","0.34","0.65","0.35","0.2","0.31","0.08","0.06","0.07","0.04","..","..",".."
"Botswana","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.16","0.51","0.05","0.03","..","..","..","..","..","0.02","..","..","..","..","..","..","..","..",".."
"Brazil","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.27","0.22","0.28","0.57","0.73","0.83","0.49","1.02","0.85","0.64","1.07","1","0.52","1.22","1.14","1.21","1.83","1.54","2.17","1.87","2.09","2.85","2.6","1.43"
"Brunei","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Burkina Faso","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.35","1.04","0.33","0.56","0.72","1.11","0.79","1.86","2.22","3.48","6.23","4.88","5.26","7.65","7.4","11.01","10.5","14.21","13.39","14.78","17.9","16.92","19.06","20.47"
"Burundi","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.73","1.27","0.51","2.15","2.76","1.04","1.3","..","1.8","1.4","1.86","1.63","0.17","0.24","0.42","0.38","0.54","3.21","0.53","0.64","1.15","1.14","0.76","1.03"
"Cambodia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.15","0.09","..","0.11","0.14","0.2","..","0.16","0.35","0.04","0.5","..","0.19","0.14","0.17","0.13","0.2","0.12","0.34","1.11","0.44","0.2","0.33","0.26"
"Cameroon","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.05","0.04","0.05","0.03","0.04","0.16","0.05","0.27","0.1","0.11","0.23","..","0.3","0.44","0.52","0.46","0.53","0.29","0.52","0.3","0.24","0.45","0.44","0.6"
"Cape Verde","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.47","1.99","1.82","2.54","3.26","4.57","6","7.13","7.8","7.58","8.3","5.38","7.65","9.64","13.2","16.55","13.82","15.87","19.44","14.24","16.87","15.21","18.15","18.98"
"Cayman Islands","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Central African Rep.","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","..","..","..","..","0.01","..","..","..","..","..","..","..","..","..","0.31","0.68","0.36","0.35","0.41","0.5","0.27","1.7"
"Chad","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.18","0.54","0.19","0.3","0.4","0.23","0.37","0.28","0.33","0.43","1.01","2.04","2.43","1.83","0.98","1.59","0.07","..","0.69"
"Chile","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.74","0.85","1.09","0.62","0.8","1.3","1.58","2.23","2.65","2.13","1.3","0.74","1.73","0.66","0.98","0.48","0.38","0.27","0.27","0.13","0.52","0.68","0.28","0.35"
"China","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","0.35","0.45","0.09","1.19","0.23","1.34","0.34","0.28","1.51","0.54","0.45","0.98","0.88","0.86","1.06","1.84","0.62","0.9","0.23","0.97","0.67"
"Chinese Taipei","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Colombia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.43","0.61","0.51","0.78","1","0.78","0.45","0.5","0.72","0.18","0.46","..","0.26","0.51","0.53","0.89","1.43","2","2.28","2.32","1.83","2.25","2","1.88"
"Comoros","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.17","0.22","0.19","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.11","0.14","0.26"
"Democratic Republic of the Congo","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.32","0.63","0.18","0.19","0.24","0.55","1.7","1.28","0.5","0.16","0.2","0.18","1.52","0.96","1.22","1.72","2.12","3.56","3.45","3.46","3.27","2.29","3.47","2.94"
"Congo","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.28","..","..","0.02","0.77","0.18","0.42","0.12","0.16","0.19","0.24","0.31","0.13","..","0.07","0.28","0.04",".."
"Cook Islands","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Costa Rica","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.09","..","..","..","..","..","..","..","0.07","..","..","..","..","0.01","..","..","0.06","..","0.12","0.11","0.12","0.06","0.08"
"Cote d'Ivoire","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.27","0.08","0.13","0.13","0.17","0.14","0.13","0.07","0.11","0.02","..","..","0.49","0.02","1.25","0.58","0.02","0.55","0.02","0.42","0.51","0.32","0.07","0.08"
"Croatia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.05","..","0.07","0.1","0.03","..","..","0.47","0.31","0.12","0.49","..","0.04","0.11","..","..","..","..",".."
"Cuba","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.06","0.08","0.1","0.12","..","0.21","0.1","..","..","0.05","0.02","..","0.07","0.17","0.22","0.23","0.23","0.32","0.21","0.55","0.24"
"Cyprus","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Djibouti","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.79","0.1","1.4","1.8","0.01","..","..","..","..","..","..","..","..","..","0.31","..","..","..","..","..","..","..",".."
"Dominica","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","..",".."
"Dominican Republic","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.13","..","..","..","..","..",".."
"East African Community","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Ecuador","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.14","0.02","0.14","0.13","0.17","0.94","0.17","0.11","0.21","..","0.15","1.47","2.18","3.37","0.48","0.6","0.88","1.09","2.21","3.73","0.31","0.23","0.17","0.17"
"Egypt","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.47","..","0.09","0.1","0.13","0.08","..","..","..","..","..","..","..","..","0.13","0.13","0.12","0.07","0.12","0.16","0.09","0.17","0.13","0.13"
"El Salvador","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.03","0.02","0.04","1.4","1.8","0.03","1.14","1.45","2.25","6.01","4.9","5.4","5.6","5.12","6.94","6.86","10.34","9.1","11.41","13.48","7.07","7.76","9.8","9.8"
"Equatorial Guinea","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.13","0.1","0.02","0.03","0.03","0.95","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Eritrea","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.13","..","..","..","..","0.11","0.4","0.28","..","..","..","..","..","..","..","..","..","..",".."
"Ethiopia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.13","0.53","0.1","0.18","0.23","0.29","0.32","0.56","0.25","0.46","0.2","0.53","0.67","0.48","0.44","0.15","1.73","0.98","1.43","1.63","0.74","1.4","0.77","0.78"
"Falkland Islands","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Fiji","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.15","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.03",".."
"Former Yugoslav Republic of Macedonia (FYROM)","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.15","..","0.22","0.19","0.47","..","0.25","0.07","0.34","0.1","..","..","..","..",".."
"French Polynesia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Gabon","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.08","..",".."
"Gambia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.83","0.64","0.73","1.01","1.3","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.12","0.16","0.16","0.26"
"Georgia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.14","0.18","0.16","..","0.07","..","..","..","..","..","0.12","0.07","0.06","..","..","0.18","0.12","0.02","..","0.03","0.01"
"Ghana","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.28","..","..","0.42","..","..","0.21","0.05","0.05","0.05","0.05","0.06","0.06","0.19","0.22","0.17","0.16","0.16"
"Gibraltar","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Grenada","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.07","..","..","..","..","..",".."
"Guatemala","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","..","0.01","..","..","0.03","0.01","0.42","0.42","0.41","..","..","0.09","0.09","0.12","0.3","0.17","0.19","0.2","0.49","0.5","0.58","0.41","0.4"
"Guinea","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.08","0.37","0.34","0.01","0.01","0.6","..","0.76","0.69","0.36","0.35","0.57","0.87","0.12","0.63","0.36","0.6","0.21","0.74","0.24","0.35","0.6","0.4","0.81"
"Guinea-Bissau","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.03","0.03","..","0.04","0.05","0.03","0.04","..","..","..","..","..","..","0.05","0.04","0.05","0.05","0.05","0.2","0.15","0.05","0.42","0.02","0.02"
"Guyana","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.08","..","..","0.02","..","0.02","0.03","..","0.05","0.04","..","0.03","..","..",".."
"Haiti","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.06","0.02","0.16","0.27","0.35","0.4","0.44","0.48","0.3","0.61","0.35","0.19","0.3","0.22","1.02","0.48","0.39","0.44","1.11","1.04","3.82","2.35","1.88","1.71"
"Honduras","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.37","..","..","..","0.01","0.09","0.05","0.09","0.14","0.22","0.07","0.1","0.18","0.17","0.14"
"Hong Kong, China","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"India","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.33","0.64","0.45","1.04","1.33","1.77","0.94","3.28","2.84","3.56","2.5","2.91","1.95","2.58","2.19","2.33","2.05","2.96","3.34","3.13","3.7","3.09","2.35","3.02"
"Indonesia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.02","0.02","0.02","0.03","0.02","..","..","0.25","0.24","..","..","0.08","0.19","0.03","0.05","1.19","0.52","0.31","0.5","0.49","0.6","0.21","0"
"Iran","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.3","..","..","0.07","0.09","..","..","0.28","..","..","..","..","..","0.53","0.82","..","..","..","..","..","..","..","..",".."
"Iraq","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.31","..","..","0.16","0.16","0.14","0.2","0.14","0.34","0.13","0.3","4.18","0.99","1.24","0.13","0.89","0.27","0.21","0.36","0.46","0.37","0.27"
"Israel","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.44","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Jamaica","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.06","..","..","..","..","0.01","..","..","..","..","..","..","..","..",".."
"Jordan","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.37","0.44","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.09","0.02"
"Kazakstan","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.24","0.31","0.26","0.22","0.2","..","0.08","0.03","0.03","..","0.6","..","0.05","..","0.15","..","0.02","0.06","0.05","..",".."
"Kenya","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.08","0.02","0.03","0.05","0.03","0.2","..","..","..","..","0.08","0.12","0.18","0.44","0.91","0.27","0.66","1.77","0.22","0.54","0.28","0.66"
"Kiribati","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Korea","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.03","0.02","0.03","..","..","..","..","0.11","0.09","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Korea, Dem. Rep.","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.63","0.59","3.31","0.66","0.63","0.34","0.29","0.35","..","0.7","0.37","0.52"
"Kosovo","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","7.97","9.16","6.89","14.54","9.03"
"Kuwait","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Kyrgyz Republic","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.08","0.03","0.04","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.13","0.02","0",".."
"Laos","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.02","..","0.58","1.25","2.03","3.53","4.85","4.74","7.75","7.42","8.56","6.8","11.34","14.21","7.91","12.35","16.53","16.69","17.76"
