"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","Netherlands","","Flow Type(s):","Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Recipient(s)",
"All Recipients","","24.5","30.39","46.65","17.9","33","46.52","..","75.46","123.4","140.87","196.4","210.22","306.69","322.14","434.47","608.31","728.42","907.56","1073.54","1472.49","1630.4","1504.96","1471.84","1195.3","1267.84","1135.92","1740.39","2094.26","2231.1","2093.59","2538.08","2516.69","2756.72","2528.18","2516.73","3226.07","3246.35","2946.72","3041.57","3134.02","3134.78","3172.5","3338.02","3972.21","4203.91","5114.65","5451.71","6224.29","6992.64","6426.11","6357.34","6343.94","5522.85","5435.45"
"All Developing Countries","","24.5","30.39","46.65","17.9","33","46.52","..","75.46","96.83","104.95","154.61","152.39","192.9","230.01","302.58","365.13","496.22","643.58","789.2","1030.93","1227.56","1143.42","1064.27","812.24","878.6","762.23","1180.4","1418.7","1552.19","1511.23","1833.06","1755.71","1883.42","1779.12","1700.62","2244.81","2275.07","2133.25","2132.98","2161.59","2242.75","2224.35","2448.63","2829.28","2670.27","3682.71","4282.23","4643.87","5199.58","4797.96","4841.43","4336.26","3857.53","3646.86"
"All Multilateral Recipients","","..","..","..","..","..","..","..","..","26.57","35.92","41.79","57.83","113.79","92.13","131.89","243.18","232.2","263.98","284.34","441.56","402.84","361.54","407.57","383.06","389.24","373.69","559.99","675.56","678.91","582.36","705.02","760.98","873.3","749.06","816.11","981.26","971.28","813.47","908.59","972.43","892.03","948.15","889.39","1142.93","1533.64","1431.94","1169.48","1580.42","1793.06","1628.15","1515.91","2007.68","1665.31","1788.58"
"Afghanistan","","..","..","..","..","..","..","..","..","..","..","..","0.02","0.16","0.35","0.19","0.22","0.19","1.56","1.72","0.2","0.18","0.19","..","0.74","..","..","0.43","0.89","3.48","2.57","3.13","0.72","5.21","9.95","12.37","26.6","12.34","42.94","25.47","9.36","10.17","71.95","88.28","77.37","90.31","79.09","87.34","88.82","111.97","147.93","115","108.48","68.5","79.95"
"Albania","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.49","2.57","2.25","6.75","4.73","7.98","7.72","5.47","1.98","3.77","11.47","11.56","12.74","11","9.12","5.34","6.78","18.27","8.24","4.16","0.38","..",".."
"Algeria","","..","..","..","..","..","..","..","..","..","..","..","0.03","0.08","0.07","3.27","0.06","0.45","0.06","..","0.21","0.61","0.12","1.26","0.79","0.12","0.02","..","..","..","0.04","1.9","0.03","0.01","0.16","0.12","0.39","1.14","1.83","0.57","0.35","0.06","0.51","0.35","1.53","0.11","0.1","0.12","..","..","..","0.16","0.05","0.15","0.08"
"Angola","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.13","0.65","3.08","4.72","10.71","2.26","7.97","2.3","4","8.9","16.66","8.05","16.77","15.58","12.44","4.94","12.58","2.15","1.24","0.72","5.88","23.33","30.08","21.7","15.16","13.67","11.65","20.49","27.67","21.08","19.55","12.8","2.11","-49.29","-2.67","-3.27","-2.72","-2.96","-2.74","-3.08"
"Anguilla","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.02","..","..","..","..","..","..","..","..","..","..","..",".."
"Antigua & Barbuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.05","0.07","0.06","0.06","..","..","..","..","..","0.01","..","..","..","0.02","..","..","0.05","..","..","0.07","..","0.14","..","..","..","..","..","..","..","..","..",".."
"Argentina","","-5.2","-5.5","..","1.3","0.9","0.68","..","-0.46","..","..","..","..","0.08","0.1","0.21","0.32","0.96","1.06","0.71","2.32","3.02","2.45","1.67","1.5","0.82","0.85","0.93","0.96","2.92","3.03","3.85","1.71","1.67","1.41","1.57","2.05","1.32","0.72","0.19","0.05","0.21","0.45","0.26","0.2","1.03","0.31","0.13","0.03","0.25","0.22","0.52","0.05","0.03",".."
