"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","Norway","","Flow Type(s):","Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Recipient(s)",
"All Recipients","","1.17","1.3","1.26","2.42","2.78","3.69","5.13","4.18","26.56","29.5","36.76","42.32","63.33","86.71","131.38","183.72","217.46","293.5","354.71","429.37","485.86","467.44","557.89","583.57","540.37","574.45","797.97","890.28","974.01","912.07","1204.83","1177.56","1272.47","1014.25","1136.85","1244.41","1311.33","1306.14","1321.55","1369.84","1263.63","1345.97","1696.09","2043.91","2198.34","2793.63","2945.18","3734.81","4005.76","4081.24","4371.58","4755.61","4752.99","5581.36"
"All Developing Countries","","1.17","1.3","1.26","2.42","2.78","3.69","5.13","4.18","12.51","13.39","14.62","18.14","30.54","40.55","72.96","101.97","105.91","165.2","192.06","248.64","284.26","264.98","326.32","332.22","304.41","328.26","479.05","527.55","571.81","554.98","755.58","734.12","810.6","658.69","827.86","907.14","944.53","915.88","950.24","1006.68","933.81","940.39","1145.14","1463.72","1536.11","2040.11","2161.83","2889.51","3078.07","3163.65","3352.93","3561.6","3522.68","4315.82"
"All Multilateral Recipients","","..","..","..","..","..","..","..","..","14.05","16.11","22.14","24.18","32.79","46.16","58.42","81.75","111.55","128.3","162.65","180.73","201.6","202.46","231.57","251.35","235.96","246.19","318.92","362.73","402.2","357.09","449.25","443.44","461.87","355.56","308.99","337.27","366.8","390.26","371.31","363.16","329.82","405.58","550.95","580.19","662.23","753.52","783.35","845.3","927.69","917.59","1018.65","1194.01","1230.32","1265.54"
"Afghanistan","","..","..","..","..","..","..","0.01","..","..","..","..","..","0.01","0.02","0.03","0.03","..","0.06","..","..","..","..","..","5.07","..","0.65","1.12","0.19","..","1.17","3.35","7.99","8.47","8.86","8.89","9.2","7.55","8.84","8.13","7.13","12.57","39.71","60.86","68.78","67.73","59.95","69.68","94.42","129.05","115.93","120.18","138.68","126.03","126.64"
"Albania","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2","0.38","0.54","0.41","0.89","0.59","1.26","2.17","6.34","3.55","3.01","5.84","5.99","8","6.51","5.68","5.89","4.08","1.04","2.51","2.76","1.55","1.72"
"Algeria","","..","..","..","0.31","0.1","..","0.06","0.06","0.04","..","0.14","..","0.11","0.11","0.34","0.57","0.57","0.14","0.16","..","0.3","0.96","..","..","0.02","1.18","..","0.06","0.01","..","0.06","..","..","..","0.08","0.16","0.15","0.1","1.45","0.95","1.05","2.11","3.23","3.36","1.57","0.74","1.04","1.27","0.06","0.91","1.02","0.9","0.19","0.11"
"Angola","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.33","..","..","0.1","0.99","0.16","0.51","0.21","0.3","0.3","0.88","4.5","4.15","7.27","7.8","5.75","8.88","14.89","28.75","25.23","24.49","23.14","19.75","16.59","17.47","22.2","24.23","24.76","20.91","23.39","21.41","17.79","17.84","13.22","13.05","12.13","9.99"
"Anguilla","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Antigua & Barbuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.05","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Argentina","","..","..","..","..","..","..","..","..","..","..","..","..","0.01","0.02","0.02","0.02","..","..","..","..","0.02","..","..","..","0.02","0.05","0.17","0.14","0.1","..","..","0.02","0.02","..","0.03","0.01","0.01","..","..","0.01","0.01","0.04","0.09","0.37","0.03","..","0.02","0.04","0.11","0.05","0.1","0.05","0.05","0"
