"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","Poland","","Flow Type(s):","Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Recipient(s)",
"All Recipients","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","32.2","31.2","21","27.2","30.11","41.11","6.12","3","1.9","4.1","18.79","16.69","11.69","10.79","6.29","2.5","1","..","..","..","..","..","..","18.72","20.33","28.81","35.56","14.26","27.14","117.51","204.79","299.7","362.9","372.54","374.89","378.54","417.47","421.06","472.31"
"All Developing Countries","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","32.2","31.2","21","27.2","30.11","41.11","6.12","3","1.9","4.1","18.79","16.69","11.69","10.79","6.29","2.5","1","..","..","..","..","..","..","13.66","14.66","13.04","30.72","8.89","18.92","24.89","47.96","121.87","155.8","83.99","92.06","96.83","90.68","111.55","121.34"
"All Multilateral Recipients","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","5.06","5.67","15.77","4.84","5.37","8.22","92.62","156.83","177.83","207.1","288.55","282.83","281.71","326.79","309.51","350.97"
"Afghanistan","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.03","0.06","0.02","0.1","0.3","0.11","0.21","0.33","0.55","1.81","1.89","6.34","6.78","9.43","9.07","3.52"
"Albania","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.09","0.44","0.42","0.18","0.03","0.19","0.2","0.19","..","0.41","0.46","0.21","0.43","0.06","0.1","0.14"
"Algeria","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","4","5","1.8","4.8","8","7.3","1.1","-0.4","-0.4","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.02","0.01","0.04","0.03","0.03","0.02","0.02","0.02","0.02","-0.1","0.06","0.04","0.03","0.03","0.01",".."
"Angola","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.04","0.02","0.03","0.06","..","0.04","0.06","0.18","92.35","0.49","6.87","7.33","1.37","-0.1","-0.24","40.44"
"Anguilla","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Antigua & Barbuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Argentina","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2.8","..","..","..","0.5","2.3","-0.2","-0.1","-0.3","-0.2","..","-1.2","..","..","..","..","..","..","..","..","..","..","..","0.01","0.01","3.22","0.01","0.01","0.01","0.01","0.06","0.02","0.05","0.02","0.02","0.01","0.01","0.02","0.02"
"Armenia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.03","0.17","0.18","0.02","0.06","0.07","0.1","0.1","0.17","0.21","0.5","0.51","0.56","1.12","0.46","0.55"
"Aruba","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Azerbaijan","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.02","0.02","0.01","0.02","0","0.02","0.02","0.03","0.13","0.47","0.33","0.22","0.18","0.4","0.43","0.33"
"Bahamas","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Bahrain","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Bangladesh","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.5","0.5","0.5","1","..","..","0.3","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.03","0.01","0.01","0","0","0","..","0.01","0.02","0.3","0.07","0.05","0.05","0.03","0.01","0.01"
"Barbados","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Belarus","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","3.98","6.77","14.93","18.31","15.5","15.09","21.21","15.91","20.04"
"Belize","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
