"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","Portugal","","Flow Type(s):","Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Recipient(s)",
"All Recipients","","1.08","37.8","..","..","..","..","20.67","46.4","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","40","84.1","110.35","142.3","205.19","292.8","235.26","303.18","257.07","217.93","250.62","258.54","275.98","270.62","268.45","322.58","319.6","1031.05","377.12","396.36","470.54","620.18","512.69","648.94","707.79","580.77","488.32"
"All Developing Countries","","1.08","37.8","..","..","..","..","20.67","46.4","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","22.3","70","78.36","103.31","158.38","233.3","178.21","210.09","165.26","157.04","163.16","176.4","207.42","178.66","183.32","186.07","182.46","872.71","218.3","211.29","270.17","373.41","276.58","396.07","477.13","397.27","302.8"
"All Multilateral Recipients","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","17.7","14.1","31.99","38.99","46.81","59.5","57.05","93.09","91.81","60.89","87.46","82.14","68.56","91.96","85.13","136.51","137.14","158.34","158.82","185.07","200.37","246.77","236.11","252.87","230.66","183.5","185.52"
"Afghanistan","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","0.24","1.98","5.55","6.58","8.99","14.18","11.64","14.01","2.1","2.36","0.23"
"Albania","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0","0"
"Algeria","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.04","..","0.61","0.08","0.09","0.08","0.08","0.08","0.06","0.01","0.02","0.01","0.01","0.1","0.13","0.06","0.06","0.02","0.01","0.02","0.02"
"Angola","","..","23.47","..","..","..","..","2.86","18.47","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","9.3","11.71","12.93","16.25","19.84","18.1","24.03","33.5","29.36","23.93","19.78","13.35","11.87","14.44","19.49","715.48","20.93","20.08","19.13","19.11","-9.85","-12.8","-7.49","1.54","-9.68"
"Anguilla","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Antigua & Barbuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Argentina","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","0.03","..","..","..","0.13","0.51","..","0.08","0.03","0.07","0.14","0.12","0.09","0.04","0.1","0.08","0.12"
