"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","Spain","","Flow Type(s):","Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Recipient(s)",
"All Recipients","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","132","206","164","57","110","168.8","203.2","231.52","248.46","536.88","986.84","1261.99","1518.22","1299.16","1304.51","1348.14","1251.44","1231.82","1375.86","1363.35","1194.85","1737.06","1712.3","1961.26","2436.95","3018.33","3813.88","5139.75","6866.8","6584.15","5949.49","4173.14","2037.37","2374.6"
"All Developing Countries","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","132","206","164","57","110","128.6","58.6","114","158.02","264.69","633.08","761.07","1099.58","931.69","854.38","815.71","887.66","762.49","838.06","829.21","720.21","1149.53","998.47","1151.35","1400.24","1862.95","2091.98","3338.94","4801.61","4473.07","3998.86","2281.71","985.51","944.97"
"All Multilateral Recipients","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","40.2","144.6","117.52","90.44","272.19","353.76","500.92","418.64","367.47","450.13","532.43","363.78","469.33","537.8","534.14","474.64","587.53","713.83","809.91","1036.71","1155.38","1721.9","1800.81","2065.19","2111.08","1950.63","1891.43","1051.86","1429.63"
"Afghanistan","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.02","..","..","0.12","..","0.09","..","0.12","..","5.92","17.81","5.15","16.56","19","18.11","43.5","71.79","98.91","60.83","57.62","31.19","19.23"
"Albania","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","0.1","0.56","..","..","0.13","0.01","0.21","1.06","10.96","1.52","1.44","1.37","1.78","1.61","7.84","3.71","19.47","16.93","14.34","4.82","-0.53","-1.49","-4.97"
"Algeria","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.8","6.1","46.43","32.55","67.63","29.52","55.06","28.77","6.24","15.78","14.71","4.7","3.12","-5.36","18.36","4.29","12.66","-4.02","43.43","60.54","64.19","54.35","9.53","-0.61","2.01","-16.14"
"Angola","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.6","..","13.15","9.79","27.73","33.99","12.72","10.97","7.51","41.84","30.93","25.23","35.79","16.21","10.21","13.35","10.84","9.27","16.13","-66.54","17.62","13.57","20.29","5.49","2.71","5.91","0.01"
"Anguilla","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Antigua & Barbuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","..","..","0.03","0.03","0.21","..",".."
"Argentina","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1.2","1.6","1.35","12.39","46.01","73.64","42.24","28.52","37.97","34.14","16.78","-5.9","-9.24","-6.48","-3.91","9.86","41.16","33.39","12.33","13.83","21.63","29.67","24.14","22.96","2.52","-1.03","-16.23"
