"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","Sweden","","Flow Type(s):","Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Recipient(s)",
"All Recipients","","1","1.52","3.13","7.2","13.69","17.11","..","26.09","71.36","120.56","116.96","158.85","197.77","275.18","401.66","565.95","600.31","772.97","775.5","980.18","955.72","917.83","985.46","753.75","741.2","839.68","1089.77","1375.88","1509.08","1780.19","2006.99","2116.43","2443.74","1768.52","1819.17","1703.92","1999.03","1730.58","1572.69","1629.93","1799","1665.65","2011.06","2400.09","2722.02","3361.73","3954.99","4338.92","4731.71","4548.28","4533.5","5603.13","5239.8","5827.29"
"All Developing Countries","","1","1.52","3.13","7.2","13.69","17.11","..","26.09","41.67","54.85","63.06","67.66","106.74","153.08","233.73","373.17","401.35","486.03","473.03","650.74","715","602.87","585.62","525.89","525.9","579.74","776.97","895.72","1033.69","1275.41","1378.6","1476.49","1761.37","1331.54","1373.01","1189.21","1395.37","1208.61","1040.53","1146.34","1241.58","1204.8","1270.61","1779.36","2075.78","2255.9","2851.91","2932.23","3142.32","3009.02","2929.13","3651.16","3637.82","3917.93"
"All Multilateral Recipients","","..","..","..","..","..","..","..","..","29.69","65.71","53.9","91.19","91.03","122.1","167.93","192.78","198.96","286.94","302.47","329.44","240.72","314.96","399.84","227.86","215.3","259.94","312.8","480.16","475.39","504.78","628.39","639.94","682.37","436.98","446.16","514.71","603.66","521.97","532.16","483.59","557.42","460.85","740.45","620.73","646.24","1105.83","1103.08","1406.69","1589.39","1539.26","1604.37","1951.97","1601.98","1909.36"
"Afghanistan","","..","..","..","..","..","0.15","..","0.04","0.25","0.51","0.57","0.59","0.81","0.42","1.1","0.57","0.99","0.86","0.45","..","1.05","..","0.06","0.46","1.49","1.02","2.81","5.44","14.72","16.7","16.05","4.84","12.97","9.09","12.35","15.3","14.75","12.2","12.51","10.31","11.5","20.6","27.52","41.88","55.68","44.22","46.42","56.15","73.89","80.07","91.72","114.98","107.6","125.52"
"Albania","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.25","4.01","1.65","0.19","0.3","0.44","0.99","1.1","5.33","0.4","3.8","3.95","5.41","5.71","8.59","12.54","11.94","11.27","10.39","10.9","13.25","12.15","11.68"
"Algeria","","..","..","0.11","0.24","0.21","0.3","..","0.05","0.01","0.17","0.01","..","..","..","..","0.48","..","0.66","0.95","1.56","2.36","1.48","0.13","1.89","0.42","1.91","10.54","16.33","14.17","4.62","19.24","1.68","2.23","0.95","1.37","2.96","3.03","0.74","2.81","1.95","0.2","1.7","0.68","1.44","2","2.24","0.46","0.88","2.11","1.33","1.59","1.08","2.62","1.38"
"Angola","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1.1","4.7","1.64","13.57","18.69","16.92","21.12","15.2","12.12","14.58","18.71","14.84","23.76","32.65","36.54","38.25","31.72","36.2","18.1","32.02","26.52","36.17","27.83","22.54","17.77","17.12","13.37","14.12","13.96","17.3","11.15","7.2","6.65","4.96","1.94","1.18","1.4","1.34","1.2"
"Anguilla","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Antigua & Barbuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Argentina","","..","..","..","0.04","..","..","..","..","..","..","..","..","0.02","..","0.04","..","..","..","..","..","0.89","..","0.27","0.31","0.05","..","0.3","0.45","0.53","0.72","1.94","2.67","1.98","3.25","1.37","2.24","1.6","0.61","0.58","0.11","0.19","0.18","0.23","0.3","0.29","0.39","0.35","0.87","0.22","0.89","0.12","0.12","0.18","0"
"Armenia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.37","5.57","2.76","2.73","1.31","0.61","0.29","0.71","0.86","1.05","1.61","2.32","1.57","2.32","3.61","2.67","2.27","0.94","0.7","0.69","0.08"
"Aruba","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Azerbaijan","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2.59","1.68","1.63","0.33","0.84","0.51","0.13","0.07","0.36","0.31","0.47","1.16","0.58","1.35","1.03","0.63","0.96","0.84","1.03","0.87"
"Bahamas","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Bahrain","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Bangladesh","","..","..","..","..","..","..","..","..","..","..","..","..","27.33","10.19","19.2","29.1","18.22","23.02","26.38","39.34","27.57","24.7","21.92","17.8","10.89","16.74","22.45","41.8","17.25","23.31","26.22","36.04","47.81","26.83","25.24","26.45","28.29","33.04","20.03","25.17","31.85","28.38","14.95","35.06","26.63","23.89","38.38","11.79","38.11","46.43","36.26","33.72","41.66","44.34"
"Barbados","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Belarus","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","5.67","7.82","10.45","14.84","11.99","17.5","21.46","2.7","0.33"
"Belize","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.02","0.03","0.01","..","..","0.01","0.01","..","..","..","..","..","..","0.03","..","..","..","..","..","..",".."
"Benin","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.02","..","0.11","..","0.05","0.01","0.01","..","0.23","0.18","0.09","0.09","0.22","0.09","1.42","0.23","0.3","0.47","0.88","1.88","0.35","0.68","0.89"
