"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","Switzerland","","Flow Type(s):","Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Recipient(s)",
"All Recipients","","1.7","6.5","2.2","2.98","5.81","6.97","10.94","6.5","24.2","29.59","30.19","28.34","64.79","65.26","67.74","103.55","108.34","119.02","171.12","209.3","248.4","228.69","248.71","317.29","285.48","302.5","421.52","546.67","616.92","557.5","749.74","862.86","1139.13","793.25","982.28","1083.57","1026.42","910.52","897.57","969.05","890.41","907.55","938.89","1299.43","1545.44","1771.59","1646.48","1684.87","2037.63","2310.07","2299.95","3050.92","3052.16","3200.1"
"All Developing Countries","","1.7","6.5","2.2","2.98","5.81","6.97","10.94","6.5","15.5","17.71","18.4","19.39","30.61","33.54","44.73","70.55","66.98","69.21","100.83","115.03","176.52","163.13","183.83","218.18","218.35","227.61","323.36","388.5","444.55","423.19","550.7","727.02","677.06","635.65","724.39","779.15","722.17","575.34","632.73","719.09","627.49","644.44","764.53","944.7","1186.89","1405.03","1254.01","1263.31","1550.19","1750.6","1712.29","2370.61","2453.61","2505.59"
"All Multilateral Recipients","","..","..","..","..","..","..","..","..","8.7","11.88","11.79","8.95","34.18","31.72","23.01","33","41.36","49.81","70.29","94.27","71.88","65.56","64.88","99.11","67.13","74.89","98.16","158.17","172.37","134.31","199.04","135.84","462.07","157.6","257.89","304.42","304.25","335.18","264.84","249.96","262.92","263.11","174.36","354.73","358.55","366.56","392.47","421.56","487.44","559.47","587.66","680.31","598.55","694.51"
"Afghanistan","","..","..","..","..","..","0.01","..","0.01","0.01","0.02","0.02","..","0.07","0.05","0.04","0.21","0.34","0.54","0.67","0.58","0.2","0.03","0.01","..","..","..","..","..","4.78","1.81","2.01","2.74","3.93","1.5","1.6","3.41","1.46","2.19","3.3","2.74","5.11","7.47","13.3","15.04","18.81","17.67","17.58","19.69","15.79","20.03","17.66","23.76","28.36","27.77"
"Albania","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.02","0.51","1.5","3.44","6.38","11.93","12.43","4.21","3.63","17.98","7","5.8","9.41","10.58","7.34","9.57","9.3","7.91","14.72","12.46","14.2","12.66","11.26","28.31"
"Algeria","","..","..","..","0.12","0.18","0.2","0.16","0.2","0.43","0.46","0.1","0.15","0.16","0.23","0.18","0.04","0.25","0.15","0.12","0.16","0.47","1.78","0.32","0.07","0.45","0.43","-0.14","0.33","0.34","0.67","0.51","3.36","0.65","0.84","0.75","0.67","0.6","0.4","0.79","1.36","0.97","0.82","0.74","2.08","1.93","2.38","1.58","2.08","1.21","1.43","1.14","2.68","2.47","2.64"
"Angola","","..","..","..","..","..","..","..","..","..","0.02","0.02","0.02","0.04","0.1","0.06","0.89","0.3","0.17","0.14","0.13","0.15","0.1","0.2","0.18","1.49","0.84","1.31","0.8","1.73","2.34","4.2","1.85","1.7","2.76","3.93","3.62","7.69","5.74","5.17","5.78","3.49","4.32","5.91","6.9","7.1","5.11","3.51","1.62","1.38","0.67","0.4","0.59","0.42","1.23"
"Anguilla","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Antigua & Barbuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Argentina","","..","..","..","1.06","1.16","0.63","1.07","-0.78","-0.87","0.06","0.02","0.03","0.03","0.03","0.01","..","..","0.02","0.34","0.19","0.22","0.31","0.02","0.01","0.11","0.02","0.06","0.2","0.15","0.25","0.15","0.1","0.12","0.42","0.32","0.24","0.25","0.11","0.16","0.21","0.2","0.17","0.12","0.28","0.3","0.29","0.31","0.29","0.26","0.45","0.45","0.36","0.39","0.22"
