"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","United Kingdom","","Flow Type(s):","Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Recipient(s)",
"All Recipients","","311.52","416.51","380.4","369.8","447.7","427.83","469.73","440.99","415.08","477.46","482.09","622.47","672.92","648.62","786.85","904.34","882.43","1112","1465.27","2153.79","1851.92","2190.31","1799.86","1610.15","1429.56","1529.78","1737.17","1871.06","2644.77","2586.64","2638.13","3200.85","3217.4","2920.2","3197","3202.18","3198.4","3433.08","3863.49","3426.3","4501.29","4566.2","4929.16","6261.75","7904.73","10771.66","12459.03","9848.49","11499.89","11282.69","13053.02","13832.36","13891.49","17871.35"
"All Developing Countries","","311.52","416.51","380.4","369.8","447.7","427.83","469.73","440.99","370.27","341.86","396.15","482.46","480.33","432.72","498.14","558.66","580.66","551.94","853.99","1214.62","1327.75","1326.86","958.49","858.74","783.48","859.64","1011.14","1007.88","1430.22","1462.48","1474.43","1818.36","1699.31","1523.48","1762.43","1715.65","1789.83","1978.83","2131.79","2248.58","2709.56","2608.93","3510.44","3840.97","5360.76","8168.46","8735","5601.49","7323.41","7391.57","8016.8","8473.54","8665.43","10544.9"
"All Multilateral Recipients","","..","..","..","..","..","..","..","..","44.81","135.6","85.94","140.01","192.59","215.9","288.71","345.68","301.77","560.06","611.28","939.17","524.17","863.45","841.37","751.41","646.08","670.14","726.03","863.18","1214.55","1124.16","1163.7","1382.49","1518.09","1396.72","1434.57","1486.53","1408.57","1454.25","1731.7","1177.72","1791.73","1957.27","1418.72","2420.78","2543.97","2603.2","3724.03","4247","4176.48","3891.12","5036.22","5358.82","5226.06","7326.45"
"Afghanistan","","..","..","..","..","0.44","1.51","0.37","0.75","0.2","0.42","-0.03","0.25","0.22","0.43","0.44","0.22","0.66","2.95","1.67","2.86","1.13","0.05","0.02","0.25","0.42","0.52","0.55","0.97","2.31","4.08","2.39","3.21","3.06","2.21","5.26","10.9","8.63","9.48","9.12","6.02","12.65","35.44","130.8","98.61","224.01","219.92","246.49","268.71","322.31","324.39","234.83","423.42","433.92","331.23"
"Albania","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","0.85","1.72","2.2","1.91","1.42","0.87","16.28","9.59","5.31","4.85","4.51","4.03","3.78","3.61","6.76","2.77","2.19","0.87","0.68","1.02","1.19"
"Algeria","","..","..","..","..","0.01","0.01","..","..","..","0.01","0.07","0.07","0.37","0.61","0.74","0.82","0.57","0.32","0.17","0.11","0.78","..","0.01","0.06","0.02","0.12","0.25","0.34","0.83","0.8","0.66","0.8","0.59","0.5","0.22","0.29","0.1","0.11","0.16","0.05","..","0.22","..","0.78","0.02","..","..","0.57","2.11","3.61","2.2","1.44","3.41","4.86"
"Angola","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.17","0.09","0.03","0.19","0.1","0.11","0.2","0.21","0.46","0.43","0.9","2.15","2.15","3.28","3.03","4.84","25.14","21.53","16.16","5.4","10.61","3.56","8.27","7.86","10.23","13.78","15.08","14.05","12.62","10.04","9.55","4.44","16.68","0.69","0.56","0.56"
"Anguilla","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1.67","1.1","1.11","2.34","2.25","2.3","2.63","1.85","2.16","1.37","1.41","2.33","2.52","2.85","3.27","2.31","3.02","3.43","3.48","5.17","2.5","2.32","1.77","3.19","2.72","3.76","3","1.8","1.8","1.36","2.73","0.28","0.23","0.05","0.21","0.09","0.39","0.55","2.82"
"Antigua & Barbuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2.52","1.37","1.31","1.44","1.36","1.65","1","1.9","0.81","0.65","0.47","0.4","1.09","1.48","1.74","1.16","1.68","3.86","1.61","1.8","1.45","0.78","1.07","0.45","0.58","0.58","3.23","1.06","2.33","0.24","0.07","..","..","0.01","0.02","0.01","..","..","0.01","0.03"
"Argentina","","-5.56","-2.89","-3.59","9.21","-3.55","-10.4","-4.22","-3.85","-4.57","-4.94","-4.86","-1.27","-1.53","0.49","0.29","0.28","0.11","0.04","0.03","0.01","0.07","..","..","..","..","..","..","..","..","..","0.02","0.14","0.2","0.14","0.24","0.18","0.25","0.23","0.19","0.26","9.52","0.03","..","..","..","..","..","0.96","0.98","0.99","0.54","1.19","3.24","1.48"
"Armenia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.53","1.91","1.59","1.37","1.58","1.31","1.33","2.75","2.38","1.67","3.15","6.56","6.22","8.39","7.51","6.6","1.02","0.49","0.36","1.32","1.29"
"Aruba","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Azerbaijan","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.44","2.03","2.87","2.81","2.45","1.97","0.58","1.2","0.75","1.15","0.47","0.29","0.16","0.04","..","0.35","1.87","1.41","0.86","0.96","2.12","4.14"
"Bahamas","","-0.04","..","..","..","0.05","0.06","0.04","0.04","0.04","0.05","0.02","0.14","0.89","0.01","0.05","0.11","0.07","0.03","0.06","0.14","0.16","0.08","0.03","0.01","0.01","0.01","0.01","0.02","0.01","0.03","0.14","0.17","0.03","0.3","0.03","0.07","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Bahrain","","0.24","0.94","1.35","0.64","0.58","0.88","0.88","0.05","0.14","0.12","0.28","0.28","0.55","0.51","0.61","0.74","0.71","0.88","0.87","0.74","0.01","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Bangladesh","","..","..","..","..","..","..","..","..","..","..","..","..","6.33","6.54","15.06","31.76","24.78","38.38","84.39","71.36","99.02","66.82","38.8","36.28","46.47","52.22","54.89","55.65","73.17","85.24","97.3","97.9","102.07","71.71","65.68","76.01","71.44","70.29","98.95","114.9","103.36","124.47","101.82","260.47","252.72","203.27","139.07","245.57","252.53","250.08","228.32","368.62","310.81","425.27"
"Barbados","","..","..","..","..","..","..","1.18","0.22","0.39","0.73","1.44","3.09","2.92","1.67","1.26","0.55","0.36","0.3","0.47","1.36","1.28","1.02","0.49","0.22","0.13","0.08","0.3","0.47","-1.45","0.3","0.25","0.69","0.59","0.42","0.44","0.64","0.41","0.43","0.3","0.7","0.19","0.26","1.2","0.21","0.33","2.44","0.04","2.5","0.18","0.45","0.08","..","..",".."
"Belarus","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.11","..","0.82","1.09","0.61","0.37","0.12","0.88","1.02"
"Belize","","1.79","2.7","4.33","3.99","0.29","1.48","1.9","5.1","4.76","6.1","5.43","4.39","2.99","3.66","4.35","5.05","6.85","4.26","7.24","15.48","9.93","7.95","4.83","3.91","7.06","5.44","4.4","3.21","4.88","3.57","5.28","5.25","5.18","5.96","7.51","3.82","6.6","1.7","1.81","37.03","1.7","6.87","11.67","0.67","0.42","1.99","0.35","0.06","0.09","0.05","0.08","0.52","0.23","2.6"
