"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","United States","","Flow Type(s):","Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Recipient(s)",
"All Recipients","","2580","3224","3398","3557","3234","3462.17","3450.77","3165.25","3240.07","3376","3153","3111.9","3958.4","2657.4","3673.5","4160.9","4360.2","4682.2","5663.5","4684","7138","5782","8202","8081","8711","9403","9565","9115","10141","7677","11394","11262","11725","10123","9927","7366","9377","6879","8785.98","9145.26","9954.89","11429.35","13290.07","16319.54","19704.91","27934.74","23532.14","21786.95","26436.95","28831.35","30352.67","30919.77","30686.96","30879.23"
"All Developing Countries","","2580","3224","3398","3557","3234","3462.17","3450.77","3165.25","2980.83","2752","2642","2866","2714","2341","2542","2927","2838","2897","3474","4076","4366","4317","4861","5563","6457","8182","7602","7154","6765","6826","8367","9396","7875","7316","7284","5613","6917","4940","5988.16","6847.85","7404.62","8284.14","10570.1","14658.6","16249.5","25582.04","21162.12","18901.21","23454.45","25173.65","26586.41","27212.81","25471.15","26383.17"
"All Multilateral Recipients","","..","..","..","..","..","..","..","..","259.24","624","511","245.9","1244.4","316.4","1131.5","1233.9","1522.2","1785.2","2189.5","608","2772","1465","3341","2518","2254","1221","1963","1961","3376","851","3027","1866","3850","2807","2643","1753","2460","1939","2797.82","2297.41","2550.27","3145.21","2719.97","1660.94","3455.41","2352.7","2370.02","2885.74","2982.5","3657.7","3766.26","3706.96","5215.81","4496.06"
"Afghanistan","","15","30","13","32","37","33.47","29.97","26.39","16.92","15","12","22","25","33","12","17","21","12","11","12","2","-7","-2","-2","-3","..","-5","29","29","40","56","59","65","42","53","2","2","..","..","32.08","2.42","7.7","367.61","485.79","778.29","1318.3","1403.71","1514.28","2111.58","2979.93","2893.4","3075","2773.13","1700.19"
"Albania","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","28","29","10","8","17","6","14.17","23.76","44.72","42.26","61.79","39.99","40.31","36.03","40.58","32.12","35.89","33","30.14","25.47","21.82","23.67"
"Algeria","","1","2","38","39","43","7.36","27.14","11.18","0.18","2","..","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","..","..","..","..","..","..","..","..","2","1","..","..","..","..","0.06","..","0.23","5.16","3.22","3.79","1.05","0.76","1.69","9.11","8.08","8.58","9.14","10.74","8.04"
"Angola","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","2","7","5","4","2","7","7","7","6","6","1","1","10","3","14","34","31","25","22","28.76","48.1","37.31","33.95","105.61","152.91","121.29","67.24","32.85","39.63","42.68","41.5","54.82","66.54","78.24","62.13"
"Anguilla","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.02"
"Antigua & Barbuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","3","2","1","..","..","..","..","..","..","..","..","..","0.23","0.41","-0.05","0.31","-0.06","-0.17","-0.18","-0.17","-0.19","-0.19","-0.2","-0.18","0.11","0.18","0.16","0.12"
"Argentina","","45","41","68","11","7","-3.24","7.55","5.36","17.21","18","1","-2","-3","-2","1","-5","-5","-5","-5","-4","-1","-1","-2","-2","-2","..","-2","..","..","..","..","..","-10","-10","2","..","..","..","0.27","0.39","-2.47","-0.47","1.61","10.37","1.82","1.36","1.97","7.82","7.17","2.62","3.85","8.59","9.69","3.73"
"Armenia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","16","62","86","60","88","22","35.2","47.9","103.06","77.95","114.3","74.19","73.14","53.26","64.88","79.92","93.79","78.45","91.55","109.7","37.56","40.04"
"Aruba","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
