"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","OOF","","Donor(s):","All Donors Total","","Flow Type(s):","Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Recipient(s)",
"All Recipients","","266.05","212.53","283.12","271.8","263.73","315.56","424.39","550.53","739.24","1152.32","2038.68","2409.72","2613.32","4206.91","4716.89","5999.69","6879.83","5803.81","7251.32","6945.41","10229.29","11472.84","13715.26","11716.35","12857.51","10944.25","10486.31","10229.81","12207.78","13207.93","18319.88","13681.27","12847.28","15102.01","13636.64","14011.9","8939.5","17513.12","29037.63","29038.27","3661.08","6254","-1972.51","-6449.36","-8344.56","2884.44","-11154.7","8082.78","20813.16","46584.4","43774.64","23488.29","30109.5","23308.74"
"All Developing Countries","","266.05","212.53","283.12","271.8","263.73","315.56","424.39","550.53","749.1","1167.39","1762.28","2137.93","2227.39","3546.74","4135.12","5544.11","6308.39","5589.45","7058.44","7018.07","10156.69","10642.21","12982.53","10986","13536.11","10777.47","10633.66","10372.98","12383.05","12252.48","18077.55","13636.62","11647.27","14458.82","11793.5","13224.17","9466.97","17461.72","27122.83","28134.36","3754.26","7128.87","539.39","-6833.36","-7978.36","3881.61","-10860.33","7616.61","20225.44","44487.24","43289.86","23815.48","31046.33","23293.34"
"All Multilateral Recipients","","..","..","..","..","..","..","..","..","-9.86","-15.07","276.4","271.79","385.93","660.17","581.77","455.58","571.44","214.36","192.88","-72.66","72.6","830.63","732.73","730.35","-678.6","166.78","-147.35","-143.17","-175.27","955.45","242.33","44.65","1200.01","643.19","1843.14","787.73","-527.47","51.4","1914.8","903.91","-93.18","-874.87","-2511.9","384","-366.2","-997.17","-294.37","466.17","587.72","2097.16","484.78","-327.19","-936.82","15.39"
"Afghanistan","","..","..","-0.1","..","..","..","-2.38","-2.65","-3.04","-2.04","-9.02","-0.85","-2","-2.68","-3","-3","2","..","..","21.43","1.79","-0.14","-0.14","-0.14","-1.21","-22.74","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.65","1.45","54.93","26.02","-5.26","23.43","42.27","71.82","101.95","28.65","60.62"
"Albania","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","13.85","186.45","46.99","12.25","27.86","25.72","-4.29","-0.37","-4.36","-1.47","-3.37","12.38","20.29","82.49","107.34","29.77","61.5","134.12","100.04","91.48","196.03","205.26","-8.11"
"Angola","","..","..","..","..","..","..","..","0","2.18","8.68","1.14","-1.63","-1.01","0.11","-1","..","-1","-0.93","-0.89","-1","6.35","40","66.24","-4.16","-12.04","45.73","32.73","45.49","-0.18","-4.91","77.68","11.09","-46.95","6.7","365.19","73.13","4.11","-58.87","-55.71","-57.15","-45.92","-11.52","46.88","-10.79","-745.83","-7.85","-13.09","-14.71","131.37","-14.05","53.21","32.73","94.06","43.29"
"Anguilla","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","0.2","-0.51","0.08","-1.04","0.1","0.53","0.23","2.31","-0.04","0.13","0.79","-0.35","-2.24","-0.13","4.15","0.93","4.53","0.3","0.14","-0.33","5.39","1.09","-0.25","-0.96","52.85","-1.21","-0.82","-1.47"
"Antigua & Barbuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.2","0.29","0.12","0.03","..","0.88","0.46","0.37","1.5","1.29","13.54","17.8","2.72","2.6","0.1","-7.28","-3.52","-4.21","-3.84","-2.89","-3.1","-8.24","-2.24","0.13","0.55","0.09","-0.89","-1.33","2.32","2.53","-0.74","-1.44","0.85","1.77","9.8","-0.58","33.41","-17.79","12.46"
"Argentina","","-6.7","6","20.9","49.6","25.3","17.8","-46.53","-29.87","-48.5","28.13","44.14","100.73","71.37","124.34","196.15","8.52","104.09","49.15","119.93","52.47","113.27","330.8","254.45","247.8","277.5","405.75","950.94","1244.99","859.96","544.44","735.07","520.47","273.21","3070.15","1143.99","2386.87","1058.65","595.01","2517.07","1816.01","624.64","1426.28","-1777.08","-784.97","-246.23","-531.9","-957.01","-743","-399.64","1329.36","559.48","494.52","28.36","572.19"
"Armenia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0","64.45","18.93","27.79","10.98","16.27","-3.99","-0.4","16.93","-1.25","2.06","-5.56","-4.07","-10.55","16.14","56.2","49.09","112.72","181.19","117.24","145.06","118.54"
"Aruba","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","-0.22","..","..","0.01","-0.01","..","..","..","1.46","3.9","1.9","-1.77","-2.91","-0.87","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Azerbaijan","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","6.2","16.13","67.01","12.33","8.93","111.5","179.58","180.18","65.7","-7.2","31.67","1102.84","313.46","115.59","-137.93","-301.99","-333.04","170.16","276.59","490.5","614.55","332.22"
"Bahamas","","3.5","..","..","..","..","..","..","5.79","22.2","4.18","4.08","4.71","8.65","39.56","0.74","20.14","6.49","-20.13","0.07","-3.33","-0.18","4.68","4.11","2.66","28.06","91.08","94.36","2.11","3.12","15.14","27.42","102.66","25.95","10.53","7.69","2.39","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Bahrain","","..","..","..","..","..","..","..","..","0.48","..","..","..","..","1.43","2.03","62.42","65.89","50","0.8","..","2.54","13.4","28.06","37.1","49.44","49.09","42.37","-1.42","5.53","-3.67","-0.81","4.41","-12.24","-2.55","0.79","-1.78","-0.22","3.97","52.11","-0.24","-0.23","-1.75","..","23.91","..","..","..","..","..","..","..","..","..",".."
