"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","OOF","","Donor(s):","DAC EU Members, Total","","Flow Type(s):","Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Recipient(s)",
"All Recipients","","..","..","..","..","..","..","59.88","89.9","109.97","-22.97","223.07","357.69","387.56","739.57","458.76","597.9","775.76","454.42","1043.09","955.71","2145.4","2290.19","2326.13","2286.85","3601.04","3299.27","3107.32","4852.62","2792.42","3214.75","4398.99","3994.13","3470.99","3461.91","5646.44","2534.93","2877.97","785.69","54.85","-68.65","-432.33","-560.66","4324.06","1008.15","-1796.94","5346.45","-9842.2","-5062.43","-371.64","1200.69","-1310.33","290.83","-1194.64","1384.27"
"All Developing Countries","","..","..","..","..","..","..","59.88","89.9","121.33","31.33","166.05","337.23","335.7","707.52","458.65","523.33","734.87","439.8","1028","955.72","2131.24","2280.05","2348.84","2261.88","3469.63","3278.18","3136.45","4881.74","2747.61","3182.82","4353.58","3983.57","3487.1","3449.85","5873.73","2768.64","3062.53","855.22","216.48","258.37","-432.33","-560.66","4324.06","1008.15","-1796.94","5346.45","-9842.2","-5087.76","-364.96","657.35","-1310.33","256.35","-1067.65","1153.28"
"All Multilateral Recipients","","..","..","..","..","..","..","..","..","-11.36","-54.3","57.02","20.46","51.86","32.05","0.11","74.57","40.89","14.62","15.09","-0.01","14.16","10.14","-22.71","24.97","131.41","21.09","-29.13","-29.12","44.81","31.93","45.41","10.56","-16.11","12.06","-227.29","-233.71","-184.56","-69.53","-161.63","-327.02","..","..","..","..","..","..","..","25.33","-6.68","543.34","..","34.48","-126.98","230.99"
"Afghanistan","","..","..","..","..","..","..","..","..","..","..","..","0.15","..","0.02","..","..","..","..","..","..","-0.06","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","3.75","-16.25","8.11","2.02","-9.43","-10.02","-7.54","-8.45"
"Albania","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.15","5.05","2.44","1.08","3.44","0.29","-0.82","-0.56","-1.09","-1.07","0.17","-0.44","-0.11","-0.25","10.34","1.76","13.18","-0.83","5.36","-0.5","4.89","-0.16","5.5"
"Angola","","..","..","..","..","..","..","..","0","..","..","1.41","-0.13","-0.48","0.04","..","..","..","0.07","0.11","..","6.35","..","35.24","5.84","0.96","10.89","7.19","20.73","-3.4","6.63","88.53","-5.45","8.77","31.43","387.11","70.12","22.41","-28.22","-35.81","-19.63","-8.32","-1.1","-5.16","-0.51","-690.23","0.1","-8.1","-14.09","121.09","-11.5","-8.4","..","..","0.05"
"Anguilla","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2.27","..","..","0.5","-1.16","-1.64","..","..","..","4.98","..","..","..","..","..","..","..","..","..","..",".."
"Antigua & Barbuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.26","..","2.92","1.77","-0.9","-6.68","-2.37","-0.71","-0.77","..","..","0.25","..","..","..","..","1.62","..","-0.5","-1.19","-0.59","-1.2","-1.47","-1.37","..","..","..","..",".."
"Argentina","","..","..","..","..","..","..","-27.14","7.13","-12.13","-15.82","-12.48","1.17","9.39","39.91","72.65","-15.92","-15.08","-16.2","20.21","-18.81","24.65","72.95","69.27","50.89","57.6","158.04","518.33","369.63","257.72","156.33","310","197.6","320.7","362.49","396.95","12.86","-137.24","-367.72","-249.68","-367.94","-287.53","-150.43","4.03","-73.23","-29.33","-25.24","-64.37","-17.02","132.82","-15.31","-33.33","-32.86","-19.8","-21.21"
"Armenia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0","..","..","..","..","0.05","0.19","0.79","2.52","..","..","..","..","..","..","13.23","19.94","27.35","19.63","-0.97","-7","-3.06"
"Aruba","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","-0.01","..","..","..","0.01","..","..","-0.66","-1.63","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Azerbaijan","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0","..","..","..","..","..","..","..","..","..","0.47","..","..","-0.08","-0.09","0.02","16.26","8.7","-2.32","-9.43","20.75","1.94"
"Bahamas","","..","..","..","..","..","..","..","..","0.11","1.11","1.18","3.52","11.6","32.48","0.24","-0.02","-0.01","..","..","..","..","..","..","..","27.85","92.05","87.41","0.01","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Bahrain","","..","..","..","..","..","..","..","..","0.48","..","..","..","..","..","0.13","..","..","..","..","..","0.04","-0.04","..","-0.26","-0.12","..","..","0.01","..","-0.01","2.85","4.41","4.76","-1.95","0.91","-1.78","-0.22","7.72","52.11","-0.24","-0.23","-1.75","..","23.91","..","..","..","..","..","..","..","..","..",".."
"Bangladesh","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.45","2.56","0.29","-1.8","0.18","1.94","0.15","-0.12","-1.08","-0.27","-0.24","1.2","3.72","1.55","6.46","12.59","-0.99","6.7","11.78","14.28","-0.7","-8.59","-25.4","-5.61","0.51","0.13","-15.87","-3.16","4.34","-0.49","-6.45","-1.15","68.26","-23.85","-30.69","-30.99","-37.13","-45.64","-8.74"
"Barbados","","..","..","..","..","..","..","..","..","..","..","..","..","..","1.23","..","..","-0.06","-0.06","-0.44","-0.07","-0.08","6.01","3.44","-0.05","-0.04","-0.58","-0.66","-0.74","-0.8","-0.74","6.57","5.42","4.21","-1.63","-2.39","..","-3.07","-3.6","-7.99","0.7","0.69","-0.13","-1.04","4.9","..","..","..","..","..","..","..","..","..",".."
"Belarus","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.1","0.02","0.02","0.89","0.44","0.05","0.07","8.48","0.67"
"Belize","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.12","1.55","..","5.17","0.82","0.87","-1.19","-1.26","-0.76","1.12","2.08","6.04","5.35","0.97","-1.21","..","0.88","-2.29","-2.45","-4.71","3.5","-11.64","-11.9","..","..","..","..","..","..","..","..","..","..",".."
