"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","OOF","","Donor(s):","DAC Countries Total","","Flow Type(s):","Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Recipient(s)",
"All Recipients","","..","..","..","..","..","..","125.39","297.91","739.24","571.61","1121.66","1264.3","1578.99","2477.84","1539.1","1907.7","2204.12","2058.1","3561","2450.45","4359.44","3908.29","5211.08","3649.78","5426","3423.83","2416.37","3576.16","5983.51","6157.76","8200.98","6722.72","9109.1","8021.43","10652.27","10636.88","5664.13","6372.68","12857.44","15222.83","-5088.16","-1872.47","119.31","-420.15","-5418.32","1985.73","-9821.91","-5490.76","-56.54","10147.52","5877.73","8602.74","9798.5","7026.94"
"All Developing Countries","","..","..","..","..","..","..","125.39","297.91","749.1","586.68","845.26","992.51","1193.06","2087.77","1554.93","1828.62","2076.98","1931.44","3404.32","2694.21","4465.94","3769.16","5236.65","3543.53","5269.4","3512.05","2563.72","3719.33","6158.78","5202.31","7958.65","6678.07","7909.09","7378.24","8809.13","9849.15","6191.6","6321.28","10942.64","14318.92","-4994.98","-997.6","2631.21","-804.15","-5052.12","2982.9","-9527.54","-5956.93","-644.26","8050.36","5392.95","8929.93","10735.33","7011.55"
"All Multilateral Recipients","","..","..","..","..","..","..","..","..","-9.86","-15.07","276.4","271.79","385.93","390.07","-15.83","79.08","127.14","126.66","156.68","-243.76","-106.5","139.13","-25.57","106.25","156.6","-88.22","-147.35","-143.17","-175.27","955.45","242.33","44.65","1200.01","643.19","1843.14","787.73","-527.47","51.4","1914.8","903.91","-93.18","-874.87","-2511.9","384","-366.2","-997.17","-294.37","466.17","587.72","2097.16","484.78","-327.19","-936.82","15.39"
"Afghanistan","","..","..","..","..","..","..","-1.88","-1.95","-3.04","-2.04","-9.02","-0.85","-2","-2.98","-3","-3","-2","..","..","21.43","1.79","-0.14","-0.14","-0.14","-1.21","-22.74","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.65","1.45","12.93","12.56","-15.23","9.12","29.07","67.01","57.76","42.11","11.16"
"Albania","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.15","5.05","2.68","1.08","3.44","18.4","-0.82","-0.56","-1.09","-1.07","0.17","-0.44","-0.11","-0.25","10.34","1.76","13.18","-0.83","5.36","-0.5","4.89","-0.16","5.5"
"Angola","","..","..","..","..","..","..","..","0","2.18","8.68","1.14","-1.63","-1.01","0.11","-1","..","-1","-0.93","-0.89","-1","6.35","40","66.24","-4.16","-12.04","42.89","27.19","38.73","-6.89","-4.37","76.23","-5.03","-57.35","6.17","365.19","73.13","4.11","-58.87","-56.39","-57.46","-23.29","-10.03","49.65","-8.28","-744.11","-6.3","-11.44","-14.15","121.02","-13.64","55.05","24.25","98.33","47.7"
"Anguilla","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","-0.95","..","-1.14","..","..","..","2.27","..","..","0.5","-1.16","-1.79","-0.02","..","..","4.98","..","..","..","..","..","..","..","..","..","..",".."
"Antigua & Barbuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","..","13.25","17.73","2.92","2.65","0.1","-7.28","-3.51","-4.07","-3.89","-2.85","-3.1","-7.43","-1.91","..","..","..","-1.19","-2.18","-0.5","-1.19","-0.59","-1.2","-7.47","-2.29","..","-8.3","17.8","-0.49","-0.72"
"Argentina","","..","..","..","..","..","..","-37.83","-19.75","-48.5","-31.51","-2.82","34.19","31.22","29.25","69.25","-20.3","36.72","22.77","39.83","-7.58","52.38","109.21","119.63","100.51","100.5","194.75","589.24","498.1","376.22","248.42","411.89","329.74","473.13","929.35","545.01","719.74","-198.36","-680.09","-394.81","-704.92","-553.4","-449.82","-162.25","-137.64","114.72","-106.31","-120.04","-206.24","103.89","-195.44","-62.54","-35.09","-48.41","-42.03"
"Armenia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0","0.01","..","..","..","0.05","0.19","0.79","2.52","4","8","..","1.1","..","-1.52","11.26","21.15","24.05","19.87","-4.07","-9.03","2.94"
"Aruba","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","-0.22","..","..","0.01","-0.01","..","..","..","0.01","4","2","-1.66","-2.79","-0.87","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Azerbaijan","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0","..","..","..","..","84.6","32.4","77.43","42.37","8.6","89.84","1121.92","275.64","71.61","-100.53","-510.82","-576.76","-79.31","-25.07","34.02","34.32","-7.16"
"Bahamas","","..","..","..","..","..","..","..","5.79","22.2","4.18","4.08","4.71","8.65","39.56","0.74","20.14","6.49","-21.62","-0.21","-3.65","-2.79","2.53","-1.32","-0.12","27.61","91.9","86.21","-0.13","-2.15","-2.07","-0.55","47.04","-5.94","-3.7","-4","-4.6","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Bahrain","","..","..","..","..","..","..","..","..","0.48","..","..","..","..","..","0.13","..","..","..","..","..","0.04","-0.04","..","-0.26","-0.12","..","..","0.01","..","-3.67","-0.81","4.41","-12.24","-2.55","0.79","-1.78","-0.22","3.97","52.11","-0.24","-0.23","-1.75","..","23.91","..","..","..","..","..","..","..","..","..",".."
"Bangladesh","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.45","4.56","0.29","-1.8","0.18","2.19","1.05","-0.12","2.92","12.73","-6.24","-5.8","-1.28","1.55","17.06","21.86","8.15","45.81","73.14","23.09","-3.31","-8.97","-37.13","-14.36","-3.39","-5.31","-25.99","-18.33","-20.88","-35.51","-12.81","5.42","81.52","2.14","-34.68","-41.64","-52.26","-60.72","-20.77"
