"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","OOF","","Donor(s):","EU Institutions","","Flow Type(s):","Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Recipient(s)",
"All Recipients","","..","..","..","..","..","..","..","..","..","45.03","36.87","30.64","28.24","45.29","45.8","49.9","58.18","48.7","78.4","162.34","257.23","240.64","319.59","201.71","84.46","151.59","190.03","140.12","56.17","121.03","264.04","153.72","582.37","343.27","92.27","150.67","302.95","836.08","845.92","637.04","426.57","331.38","883.45","1146.17","1855.89","1594.97","1855.4","4715.91","4447.55","4693.27","5582.93","-793.97","-999.41","-612.18"
"All Developing Countries","","..","..","..","..","..","..","..","..","..","45.03","36.87","30.64","28.24","45.29","45.8","49.9","58.18","48.7","78.4","162.34","257.23","240.64","319.59","201.71","84.46","151.59","190.03","140.12","56.17","121.03","264.04","153.72","582.37","343.27","92.27","150.67","302.95","836.08","845.92","637.04","426.57","331.38","883.45","1146.17","1855.89","1594.97","1855.4","4715.91","4447.55","4693.27","5582.93","-793.97","-999.41","-612.18"
"All Multilateral Recipients","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Afghanistan","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Albania","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","181.2","41","..","..","..","..","1.01","..","-0.08","-0.31","7.8","10.64","8.37","4.32","16.07","36.9","39.51","31.09","26.4","-10.57","-9.12","-10.1"
"Angola","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","10.46","..","-1.43","8.84","-4.27","-4.41"
"Anguilla","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Antigua & Barbuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","-0.52","-0.5","-0.48","..","..",".."
"Argentina","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","53.69","..","1.82","42.37","41.58","25.31","14","16.5","-86.55","-16.39","-38.29","-41.47","-35.5","-10.72","-11.12","230.36","-17.66","-17.86","-14.05","-34.91"
"Armenia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","60.85","6.77","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","3.84","5.28"
"Aruba","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1.45","-0.1","-0.1","-0.11","-0.12","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Azerbaijan","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","17.71","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Bahamas","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1.41","10.55","-0.09","1.49","5.48","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
