"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","OOF","","Donor(s):","G7 Countries, Total","","Flow Type(s):","Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Recipient(s)",
"All Recipients","","..","..","..","..","..","..","125.39","297.91","715.78","557.18","1087.05","1242.27","1532.09","2455.78","1523.39","1867.22","2103.43","2040.55","3456.22","2366.06","4129.65","3685.61","4558.49","2928.61","4583.62","2896.28","1953.02","3390.47","5607.04","5600.13","7669.66","6072.26","7606.95","7397.25","9243.12","9273.68","4525.54","5776.27","12542.48","14777.38","-5091.27","-1714.99","-434.62","-2433.2","-4760.98","438.43","-10435.69","-5432.89","-1791.6","8829.18","3867.81","5068.66","8338.46","4500.99"
"All Developing Countries","","..","..","..","..","..","..","125.39","297.91","720.58","582.44","813.54","979.39","1176.04","2064.27","1535.24","1797.89","1984.13","1901.87","3293.47","2600.78","4260.37","3567.52","4615.98","2879.34","4670","3087.8","2165.59","3424.21","5827.42","4723.79","7357.27","5981.3","6553.14","6803.9","7379.68","8537.47","5200.74","5943.67","10750.24","13682.64","-4998.09","-840.12","2077.28","-2817.2","-4394.78","1435.6","-10141.32","-5873.73","-2386","6958.27","3383.03","5430.79","9151.74","4720.18"
"All Multilateral Recipients","","..","..","..","..","..","..","..","..","-4.8","-25.26","273.51","262.88","356.05","391.51","-11.85","69.33","119.3","138.68","162.75","-234.72","-130.72","118.09","-57.49","49.27","-86.38","-191.52","-212.57","-33.74","-220.38","876.34","312.39","90.96","1053.81","593.35","1863.44","736.21","-675.2","-167.4","1792.24","1094.74","-93.18","-874.87","-2511.9","384","-366.2","-997.17","-294.37","440.84","594.4","1870.91","484.78","-362.13","-813.28","-219.19"
"Afghanistan","","..","..","..","..","..","..","-1.88","-1.95","-3.04","-2.04","-9.02","-0.85","-2","-2.98","-3","-3","-2","..","..","21.43","1.79","-0.14","-0.14","-0.14","-1.21","-22.74","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.65","1.45","12.93","12.56","-15.23","9.12","25.22","51.87","41.53","5.41","3.52"
"Albania","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.15","5.05","2.44","1.08","1.43","18.46","-0.69","-0.46","-0.98","-1.07","0.17","-0.47","-0.11","-0.25","10.34","1.76","13.18","-0.83","-1.64","-3.76","-3.94","-5.33","-5.63"
"Angola","","..","..","..","..","..","..","..","0","2.18","8.68","1.14","-1.63","-0.92","0.11","-1","..","-1","-0.93","-0.89","-1","6.35","40","30.96","-10.13","-13","43.47","23.15","38.64","-3.4","-11","72.95","-6.75","-58.7","5.55","-4.66","16.99","2.41","-52.99","-42.88","-61.13","-26.07","-12.2","50.5","-7.77","-53.88","-6.4","-3.34","-0.07","103.22","-2.14","0.45","24.25","98.33","47.64"
"Anguilla","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","-0.95","..","-1.14","..","..","..","2.27","..","..","0.5","-1.16","-1.79","-0.02","..","..","4.98","..","..","..","..","..","..","..","..","..","..",".."
"Antigua & Barbuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","..","13.25","17.73","2.92","2.65","0.1","-7.28","-3.51","-4.07","-3.89","-2.85","-3.1","-7.43","-1.91","..","..","..","-1.19","-2.18","-0.5","-1.19","-0.59","-1.2","-7.47","-2.29","..","-8.3","17.8","-0.49","-0.72"
"Argentina","","..","..","..","..","..","..","-37.83","-19.75","-48.58","-30.04","-1.37","34.07","31.09","29.09","69.27","-20.3","37.26","23.69","40.93","-6.45","53.55","110.16","108.92","102.11","101.47","197.22","591.9","482.62","369.75","249","411.88","324.99","469.71","911.01","555.38","736.75","-127.01","-458.4","-347.09","-526.6","-464.05","-445.81","-223.01","-142.36","98.5","-107.69","-120.79","-207.24","103.04","-196.68","-64.18","-37.58","-50.15","-42.93"
"Armenia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0","..","..","..","..","..","..","..","..","4","8","..","1.1","..","-1.52","11.26","21.15","24.05","19.87","-4.07","-17.45","1.11"
