"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","OOF","","Donor(s):","IBRD","","Flow Type(s):","Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Recipient(s)",
"All Recipients","","253.9","204","267.9","263.6","253.2","304.9","274.1","235.04","..","387.46","507.64","663.25","782.3","860.56","1208.17","1805.74","1724.2","1832.8","2103.81","2846.22","3166.12","3603.15","4534.19","5116.82","5647.7","5041.22","5417.81","4394.89","3417","3302","5009","1761","-807.56","1525.92","-2157.89","-542.77","-238.1","3145.11","5745.52","3801.61","2657.02","1802.52","-3540.52","-6970.07","-3482.35","-2572.58","-4853.12","85.68","3786.07","11519.49","18214.89","1810.47","7724.73","8025.55"
"All Developing Countries","","253.9","204","267.9","263.6","253.2","304.9","274.1","235.04","..","387.46","507.64","663.25","782.3","860.56","1208.17","1805.74","1724.2","1832.8","2103.81","2846.22","3166.12","3603.15","4534.19","5116.82","5647.7","5041.22","5417.81","4394.89","3417","3302","5009","1761","-807.56","1525.92","-2157.89","-542.77","-238.1","3145.11","5745.52","3801.61","2657.02","1802.52","-3540.52","-6970.07","-3482.35","-2572.58","-4853.12","85.68","3786.07","11519.49","18214.89","1810.47","7724.73","8025.55"
"All Multilateral Recipients","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Afghanistan","","..","..","-0.1","..","..","..","-0.5","-0.7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Albania","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0","..","..","..","..","..","..","..","..","..","..","..","..","..","..","5.43","11.74","6.87","3.11","27.64","7.76","4.83"
"Angola","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Anguilla","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Antigua & Barbuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1.49"
"Argentina","","-6.7","6","16.7","48.6","24","16.9","-8.1","-9.32","..","37.86","27.1","37.34","37.46","46.03","37.74","1.31","1.2","0.4","8.87","15.25","36.69","73.69","26.27","29.8","14.95","75.09","273.63","661.68","299","95","170","109","-195.43","1172.82","122.68","682.41","794.8","497.83","1678.36","1127.88","480.71","653.3","-928.29","-1005.17","-61.03","-566.38","-674.98","-531.6","-604.63","235.61","46.16","210.66","67.99","490.7"
"Armenia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.51","1.02","3.35","5.4","0.93","-0.17","-0.38","-0.39","-0.42","-0.44","-0.51","-0.59","-0.65","-0.66","-0.74","-0.85","48.57","52.36","44.94","85.11","75.04"
