"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","OOF","","Donor(s):","IDB","","Flow Type(s):","Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Recipient(s)",
"All Recipients","","..","..","..","..","..","..","..","..","..","87.12","84.02","124.43","103.88","170.18","246.35","207.95","285.46","388.25","375.4","447.1","567.4","642.8","832.53","957.01","1550.09","1398.56","1223.57","927.88","1092.52","1257.51","1059.9","1364.18","837.7","2080.94","2373.96","1386.57","1409.4","2697.2","4112.38","5955.9","4360.48","4104","1413.45","1265.55","-1430.57","-325.76","-2529.18","1455.05","2411.17","6851.6","4518.21","2655","1914.12","1419.01"
"All Developing Countries","","..","..","..","..","..","..","..","..","..","87.12","84.02","124.43","103.88","170.18","246.35","207.95","285.46","388.25","375.4","447.1","567.4","642.8","832.53","957.01","1550.09","1398.56","1223.57","927.88","1092.52","1257.51","1059.9","1364.18","837.7","2080.94","2373.96","1386.57","1409.4","2697.2","4112.38","5955.9","4360.48","4104","1413.45","1265.55","-1430.57","-325.76","-2529.18","1455.05","2411.17","6851.6","4518.21","2655","1914.12","1419.01"
"All Multilateral Recipients","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Afghanistan","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Albania","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Angola","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Anguilla","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Antigua & Barbuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Argentina","","..","..","..","..","..","..","..","..","..","12.78","21.06","30.8","-0.11","46.06","36.76","28.71","53.97","64.86","77.2","34.8","24.1","98.7","97.65","108.77","149.75","136.41","84.27","19.01","77.54","121.55","69.5","116.24","-40.74","872.09","275.11","833.26","314.6","731.18","1161.15","1141.58","690.44","1253.2","-517.37","321.63","-154.72","75.66","-137.72","-33.05","-16.05","968.45","633.07","397.04","132.71","300.32"
"Armenia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
