"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","OOF","","Donor(s):","IFC","","Flow Type(s):","Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Recipient(s)",
"All Recipients","","12.15","8.53","15.22","8.2","10.53","10.66","24.9","17.58","..","53","67.6","55.8","40.8","97.5","137.5","166.7","193","97.6","58.5","108","295.2","509.7","290.6","166","126.6","93.8","156.2","208.1","355.8","387.93","1384.75","492.78","463.57","501.59","559.49","657.18","901.71","245.6","678.45","663.33","228.9","21.72","31.7","1253.13","534.16","363.8","1544","1990","3210","2245","1692.74","1425.53","2181.41","2013.44"
"All Developing Countries","","12.15","8.53","15.22","8.2","10.53","10.66","24.9","17.58","..","53","67.6","55.8","40.8","97.5","137.5","166.7","193","97.6","58.5","108","295.2","509.7","290.6","166","126.6","93.8","156.2","208.1","355.8","387.93","1384.75","492.78","463.57","501.59","559.49","657.18","901.71","245.6","678.45","663.33","228.9","21.72","31.7","1253.13","534.16","363.8","1544","1990","3210","2245","1692.74","1425.53","2181.41","2013.44"
"All Multilateral Recipients","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Afghanistan","","..","..","..","..","..","..","..","..","..","..","..","..","..","0.3","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","7","..","..","..","3","-1.5","44.19","-13.46","49.46"
"Albania","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.87","..","..","1.2","..","-0.1","-0.2","-0.2","..","29.17","23.8","-16","-9","14","5","..","49.37","12.14","-8.36"
"Angola","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.31","0.31","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Anguilla","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Antigua & Barbuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","10","..","6.5","-16.5",".."
"Argentina","","..","..","4.2","1","1.3","0.9","-0.6","-0.8","..","9","-1.2","-1.6","2.8","3","2.4","-1.2","12.2","4.2","0.7","10","0.1","49.2","10.9","8.1","12.3","-0.5","3.8","66.2","107.2","79.47","83.68","-34.51","36.25","95.89","147.5","151.46","143.28","4.56","31.2","226.29","-6.34","-46.42","-81.72","54.87","-107.38","104.99","9","38","129","92","-46.81","-75.31","-105.6","-143.98"
"Armenia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","3","1","3","17","1","-4","17.71","20.82","34.31","-2.86"
"Aruba","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Azerbaijan","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","3.5","65.7","39.83","7.13","-14.8","-28.44","-12.78","-34.05","-0.9","-10","22","7","22","-1.03","16.25","7.51","-23.38"
"Bahamas","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Bahrain","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Bangladesh","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.9","..","1.1","..","..","0.7","4","0.3","1.3","-0.99","..","-1.58","1.16","-0.73","-0.38","-0.61","-0.26","-0.11","-0.3","36.67","6.6","8.68","-3.97","8.75","4.68","29.27","-12","-14","-21","-5","-2.29","82.35","23.78","94.03"
"Barbados","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.3","..","..","0.8","0.5","-0.04","-0.2","-0.09","..","..","-0.46","6.43","..","-0.71","-5.3","..","..","..","..","..","..","..","..","..","..","4","2.77","..","..",".."
"Belarus","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","22.67","..","-17","3","18","19.13","1.11","14.65","-1.77"
"Belize","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","..","..","..","12.5","1.62","-1","-6","3.1","-0.42","-0.18","-5.37","-0.37","-0.37","-0.09","..","..","..","..","..","..","-1.86","..",".."
"Benin","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.25","0.36","-0.05","-0.07","-0.07","0.33","-0.3","-0.14","..","-0.01","..","..","-0.01","..","..","..","..","..","..","..","..",".."
"Bermuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
