"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","OOF","","Donor(s):","Multilateral, Total","","Flow Type(s):","Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Recipient(s)",
"All Recipients","","266.05","212.53","283.12","271.8","263.73","315.56","299","252.62","..","580.71","714.02","923.23","1013.82","1306.68","1834.75","2601.19","2676.84","2918.6","2993.2","3973.6","4759.03","5552.58","6610.12","7166.71","8082.34","7707.53","7992.75","6797.53","6602.93","6981.58","10146.82","6852.37","3741.65","6862.86","2942.2","3393.18","3275.37","11140.44","16180.19","13815.44","8749.24","8126.47","-2091.82","-6070.1","-3715.32","504.51","-1209","13615.14","20872.25","36438.56","37923.93","14849.27","20193.88","16287.46"
"All Developing Countries","","266.05","212.53","283.12","271.8","263.73","315.56","299","252.62","..","580.71","714.02","923.23","1013.82","1306.68","1834.75","2601.19","2676.84","2918.6","2993.2","3973.6","4759.03","5552.58","6610.12","7166.71","8082.34","7707.53","7992.75","6797.53","6602.93","6981.58","10146.82","6852.37","3741.65","6862.86","2942.2","3393.18","3275.37","11140.44","16180.19","13815.44","8749.24","8126.47","-2091.82","-6070.1","-3715.32","504.51","-1209","13615.14","20872.25","36438.56","37923.93","14849.27","20193.88","16287.46"
"All Multilateral Recipients","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Afghanistan","","..","..","-0.1","..","..","..","-0.5","-0.7","..","..","..","..","..","0.3","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","42","13.46","9.97","14.31","13.2","4.81","44.19","-13.46","49.46"
"Albania","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","181.2","44.31","11.17","24.42","7.32","-3.47","0.19","-3.27","-0.4","-3.54","12.82","20.4","82.74","74.29","29.68","49.99","136.62","96.35","93.65","192.81","207.09","-11.95"
"Angola","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2.84","5.54","6.76","6.71","-0.54","1.45","16.12","10.4","0.53","..","..","..","..","0.68","0.31","-22.63","-1.49","-2.77","-2.51","-1.72","-1.55","-1.65","-0.56","10.35","-0.41","-1.84","8.48","-4.27","-4.41"
"Anguilla","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","0.2","0.44","0.08","0.1","0.1","0.53","0.23","0.04","-0.04","0.13","0.29","0.81","-0.45","-0.11","4.15","0.93","-0.45","0.3","0.14","-0.33","5.39","1.09","-0.25","-0.96","52.85","-1.21","-0.82","-1.47"
"Antigua & Barbuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.2","0.29","0.12","0.03","..","0.88","0.46","0.37","0.5","1.29","0.29","0.07","-0.2","-0.05","..","..","-0.01","-0.14","0.05","-0.04","..","-0.81","-0.33","0.13","0.55","0.09","0.3","0.85","2.82","3.72","-0.15","-0.24","8.32","4.06","9.8","7.72","15.61","-17.3","13.18"
"Argentina","","-6.7","6","20.9","49.6","25.3","17.8","-8.7","-10.12","..","59.64","46.96","66.54","40.15","95.09","76.9","28.82","67.37","69.46","86.77","60.05","60.89","221.59","134.82","146.67","177","211","361.7","746.89","483.74","296.02","323.18","190.73","-199.92","2140.8","598.98","1667.13","1257.01","1275.1","2911.88","2520.93","1178.04","1876.1","-1614.83","-647.33","-360.95","-425.59","-836.97","-536.76","-503.53","1524.8","622.02","529.61","76.77","614.22"
"Armenia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","64.44","18.93","27.79","10.98","16.22","-4.18","-1.19","14.41","-5.25","-5.94","-5.56","-5.17","-10.55","17.66","44.94","27.94","88.67","161.32","121.31","154.09","115.59"
"Aruba","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1.45","-0.1","-0.1","-0.11","-0.12","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Azerbaijan","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","17.71","1.07","8.93","26.9","147.18","102.75","23.33","-15.8","-58.17","-19.08","37.82","3.12","-28.85","217.37","252.26","258.01","305.93","456.48","527.52","331.48"
"Bahamas","","3.5","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1.49","0.28","0.32","2.61","2.15","5.43","2.78","0.45","-0.82","8.15","2.24","5.27","17.21","27.97","55.62","31.89","14.23","11.69","6.99","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Bahrain","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","10.14","-0.94","-0.97","-1.02","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Bangladesh","","..","..","..","..","..","..","..","..","..","..","..","..","..","5.15","0.36","55.89","0.15","0.03","-0.46","-0.5","1.32","-0.33","0.43","-0.66","-0.68","-0.84","2.01","-1.58","0.11","-3.18","-2.18","-2.77","-2.41","-4.5","-4.6","-5.45","-4.97","-4.8","-4.97","41.72","4.6","25.79","16.84","25.06","110.02","153.72","60.55","29.64","90.41","710.8","156.23","199.33","235.29","114.68"
"Barbados","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.14","1.23","8","2.74","0.93","2.7","8.93","14.85","11.42","10.56","6.83","7.07","13.19","10.35","2.26","8.08","-3.32","-2.89","-6.74","-4.01","12.31","29.06","13.11","13.1","12.47","9.72","17.1","7.41","21.1","11.03","-6.82","-8.24","-8.27","4.69","13.92","36.35","..","..",".."
"Belarus","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","5.34","-4.86","-27.68","26.21","252.83","68.44","17.13","280.35","309.76"
"Belize","","..","..","..","..","..","..","..","-0.3","..","..","..","..","..","0.03","0.46","0.53","0.3","0.14","0.11","..","0.8","..","0.25","1.28","2.07","3.78","0.66","1.35","0.64","4.2","4.06","1.37","1.35","0.3","16.18","7.16","5.43","13.35","16.63","9.19","13.66","20.07","18.53","17.69","10.41","-1.23","2.63","17.27","-1.26","13.02","-2.31","2.34","6.04","4.27"
"Benin","","..","..","..","-0.1","..","..","..","..","..","..","..","..","..","0.1","0.19","0.1","1.14","3.45","3.49","3","3.41","3.33","-0.38","-0.43","-0.63","-0.57","0.49","0.23","-1.53","-2.78","1.71","-2.43","-0.66","-0.97","-1.33","-0.77","-0.07","1.33","-0.3","1.96","..","-0.35","3.67","-1.59","-1.74","-0.33","-0.18","-0.43","-0.55","-0.5","-20.23","-1.03","-1.97","10.22"
"Bermuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Bhutan","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","4","5","0.41","..","-1","-1","8.06","19.52","13.69","4.55","-0.53"
"Bolivia","","..","-0.1","..","..","..","..","..","-1","..","..","..","28.37","14.54","1.22","-0.66","8.01","21.15","31.85","34.56","42.67","69.38","25.68","8.64","7.9","1.24","5.44","8.49","32.69","66.02","43.03","20.4","30.58","123.86","59.35","71.28","19.67","-39.78","-25.77","-85.86","-55.07","-10.41","-37.85","-64.63","39.27","-52.72","5.92","-87.5","-80.5","-37.89","-54.65","-97.47","-67.83","-45.97","-16.28"
"Bosnia-Herzegovina","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","-25.1","7.08","19.66","25.82","19.47","16.1","8.74","27.96","56.38","30.39","99.67","175.89","171.91","192.78","210.28","-45.03","0.14","112.75"
"Botswana","","..","..","..","..","..","..","..","..","..","..","..","..","12.49","13.44","5.68","2.71","2.11","2.92","2.53","5.53","3.81","9.72","16.58","18.43","22.83","39.9","9.41","36.58","4.51","9.36","17.62","12.66","12.89","-11.26","-33.02","-39.37","-29.22","-28.55","-23.14","-19.93","-19.49","-16.98","-16.39","-9.62","-12.52","13.87","-0.76","-14.4","21.17","962.64","-7.75","596.13","54.45","-101.5"
"Brazil","","10.1","17.4","7.7","-0.3","-7.3","-15.4","-14","1.3","..","68.97","91.89","127.71","200.01","214.43","382.87","354.76","228.38","285.3","246.26","344.3","440.92","479.39","703.74","1163.06","1160.21","587.24","1045.01","97.21","154.77","62.6","-334.47","-431.97","-739.68","-642.54","-430.57","-278.6","889.25","1524.82","1809.45","3241.11","3435.43","1782.48","1224.82","-1097.36","-1520.25","357.82","2470.49","891.54","1525.98","967.55","4248.84","-5232.78","2513.95","694.69"
"Brunei","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Burkina Faso","","..","..","..","-0.1","..","..","..","..","..","..","..","0.45","0.34","1.15","0.85","..","0.99","-0.17","0.71","-0.51","-0.01","-0.46","-0.44","2.58","1.81","2.32","5.8","7.72","2.35","2.71","0.13","-2.56","-0.93","-4.35","-3.68","-2.53","-1.45","-1.47","-1.93","-1.93","-1.97","-4.49","-4.2","1.19","-2.08","1.21","1","3.75","18.1","-9.81","19.02","-1.92","-3.35","-3.84"
"Burundi","","0.75","0.2","-0.05","-0.2","-0.1","..","-0.2","-0.24","..","-0.27","-0.29","-0.31","-0.32","-0.34","-0.35","0.26","1.51","1.08","0.21","-0.16","0.29","0.25","0.85","9.87","10.48","6.09","5.1","4.55","1.65","-2.9","-4.39","-4.06","-2.88","-2.81","-4.06","-2.01","-3.98","-3.76","-4.21","-1.96","..","0.46","..","-0.62","-7.29","..","..","..","..","..","-0.53","..","..","3.75"
"Cambodia","","-1","1.8","..","-0.3","1","1.5","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1.2","3.84","12.99","1","-5","11","-4.37","-5.18","3.69","19.92","17.07"
"Cameroon","","..","..","..","-0.2","..","..","..","..","..","1.65","5.68","5.76","6.52","10.45","10.45","23.07","11.04","19.11","46.32","33.63","32.68","20.65","18.86","34.07","40.13","46.26","80.28","74.84","39.24","79.85","87.73","107.77","91.66","-30.38","-54.6","-99.83","-98.06","-77.38","-93.36","-90.85","-79.98","-45.59","-21.03","2.72","-73.96","-56.69","-88.85","23.24","-56.37","55.24","19.89","27.95","55.85","1.28"
"Cape Verde","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","7.02","4.12","0.65","1.2","..","-1.04","-1.06","-0.54","-1.12","-1.75","-0.55","-1.33","-1.56","-0.33","-1.04","-1.6","-1.37","-1.39","-1.42","-0.63","-0.17","-0.12","..","6.63","-1","-2.75","0.76","34.49","20.08","76.88","11.56","37.77"
"Cayman Islands","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.8","-0.02","-0.04","..","..","1.43","1.89","2.81","4.7","0.74","-0.07","5.16","2.62","6.47","6.45","3.73","6.21","0.17","-2.68","-0.28","-0.8","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Central African Rep.","","..","..","..","-0.1","..","..","..","..","..","..","..","..","..","..","..","0.55","0.23","..","-0.01","-0.07","0.16","-0.02","-0.11","0.78","1.56","3.51","6.64","1.87","-0.06","-1.22","-1.13","-0.66","5.02","..","-1.34","..","..","..","-1.8","-0.88","..","..","-0.21","..","..","..","..","-3.71","..","..","-0.33","3.16","..",".."
"Chad","","..","..","..","-0.1","..","..","..","..","..","..","..","..","..","..","0.65","0.78","0.72","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","10.77","8.31","30.21","5.84","-4.42","-10.84","-6.67","-30.15","-3.41","36.37","18.79","28.41","2.83"
"Chile","","5.38","4.2","5.5","5","1.9","7.8","7.5","5.75","..","3.17","25.43","14.26","-0.41","2.42","-11.83","8.72","9.32","30.4","18.51","25.84","25.85","59.86","47.66","213.96","351.58","457.03","448.04","477.41","411.25","270.69","475.83","173.31","81.06","-51.42","15.25","-1685.75","-592.94","-437.28","-120.76","-95.23","-80.84","-80.79","-257.85","16.39","1.76","-189.45","6.31","35.07","210.47","-83.96","-6.02","-65.95","26.57","346.77"
"China","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","-6.52","-5.07","-4.38","-0.09","68.68","348.98","320.8","203.82","541.71","604.62","428.19","701.92","518.48","1137.28","1562.03","1627.94","1629.14","1831.87","1863.88","1524.61","1639.08","1627.3","-432.45","-2428.29","637.23","1240.24","1439.01","1519.2","1839.33","1626.69","1385.95","1246.46","857.09","643.78"
