"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","OOF","","Donor(s):","Non-DAC Countries, Total","","Flow Type(s):","Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Recipient(s)",
"All Recipients","","..","..","..","..","..","..","..","..","..","..","203","222.19","20.51","422.39","1343.04","1490.8","1998.87","827.11","697.12","521.36","1110.82","2011.97","1894.06","899.86","-650.83","-187.11","77.19","-143.88","-378.66","68.59","-27.92","106.18","-3.47","217.72","42.17","-18.16","..","..","..","..","..","..","..","40.89","789.08","394.2","-123.79","-41.6","-2.55","-1.68","-27.03","36.27","117.12","-5.66"
"All Developing Countries","","..","..","..","..","..","..","..","..","..","..","203","222.19","20.51","152.29","745.44","1114.3","1554.57","739.41","660.92","350.26","931.72","1320.47","1135.76","275.76","184.37","-442.11","77.19","-143.88","-378.66","68.59","-27.92","106.18","-3.47","217.72","42.17","-18.16","..","..","..","..","..","..","..","40.89","789.08","394.2","-123.79","-41.6","-2.55","-1.68","-27.03","36.27","117.12","-5.66"
"All Multilateral Recipients","","..","..","..","..","..","..","..","..","..","..","..","..","..","270.1","597.6","376.5","444.3","87.7","36.2","171.1","179.1","691.5","758.3","624.1","-835.2","255","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Afghanistan","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","4","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Albania","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","13.7","0.2","..","..","..","..","..","..","..","..","..","..","..","..","22.71","-1.67","-1.67","-1.67","-1.67","-1.67","-1.67","-1.67","-1.67"
"Angola","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Anguilla","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Antigua & Barbuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Argentina","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","50","..","..","-43.08","-6.67","..","..","..","..","0.62","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Armenia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
